GeneSymbol	Plasma cells	Monocytes	Eosinophils	Neutrophils	B cells	T cells	Macrophages
A1BG	0.804347799551027	0.712087589086243	0.999541261086622	0.523331229767447	0.694077086556517	0.920375165799805	0.785883843863463
A1CF	1	0.812910107276183	1	1	0.915247164465307	0.972135063692026	0.847316239739612
A2M	0.961187358299952	1	0.997502130041788	0.696166450627894	0.850231768755554	1	1
A2ML1	0.796169240220477	0.692836390022117	0.88820163574485	0.365404273548941	0.739178304180246	0.815090491194416	0.517300398154497
A3GALT2	0.802805807577207	0.665289183210191	0.941605074074605	0.545669384504248	0.896627018190913	1	0.617071943300898
A4GALT	0.831467115523766	0.976561342830629	1	0.396387256159291	0.889311406806838	0.854981435308822	0.72279385237023
A4GNT	0.777291044792368	0.852344474019485	1	0.388083105240271	0.849893304360811	0.817560187249179	0.385149514931252
AAAS	0.920937176518357	1	1	0.44892578436702	0.667820315657177	0.783319460548385	0.450090060063992
AACS	0.988724643164049	0.800401319642847	1	0.916027630846662	0.815592138820106	0.999562917145925	0.687574407601271
AADAC	0.813063578216991	1	0.85516971185686	0.757833995611713	0.832519123062447	1	1
AADACL2	0.668341386262976	0.74876099093506	0.716565740434735	0.410354439435258	0.654056112045407	0.931738968057533	0.422166658956377
AADACL3	0.959251185864255	0.988747816970274	0.857494173278365	0.391339807036392	0.672228045170655	0.773644956410352	0.709998589265911
AADACL4	0.843521287718262	0.863113689641265	1	0.48839451189551	0.995680332158944	0.929110091225531	0.604228979758643
AADAT	0.927210972867917	1	0.953494857875357	0.850426740390301	0.962895389217251	1	0.679608245281486
AAED1	0.96207663712702	1	0.999094898514	0.619034725968089	0.944027897709374	1	0.870344543929373
AAGAB	0.97668365932468	0.792722128061079	1	0.71071892374922	0.889720407734506	0.91292047319579	0.626448961359523
AAK1	0.917088151616191	0.968215256919457	0.916635202531223	0.602882831533732	1	0.838165852869905	0.923567408843168
AAMDC	0.853258634321553	1	1	0.485110110802247	1	0.854046347400824	0.598478542761836
AAMP	0.824185398687094	0.816716751487731	1	0.684368728157349	1	0.982783714240352	0.551829984723183
AANAT	0.869946564581872	0.585865886037489	0.923645860148249	0.471926905132963	0.655950683409753	0.845760027299912	0.727512267484045
AAR2	0.775121284482533	0.60190985718533	1	0.297014299394911	0.570020581487659	0.867254301547684	0.343345139453098
AARD	0.625698054795931	0.7239975826002	1	0.351564414328401	0.97310615269183	1	0.62705260854289
AARS	0.942784187708538	1	0.893709791626272	0.737842422279177	0.892267998255688	1	0.768385404272227
AARS2	0.903123632173434	0.837028595657925	1	0.860700722351312	0.801537013924661	0.998226998137031	0.753622472718387
AASDH	0.828570494235933	0.94862031809509	0.697112892314448	0.753832780799397	0.72215147676783	1	0.51372952811695
AASDHPPT	0.806294479198706	1	0.984871158306904	0.543901132726185	0.94040425568327	1	0.555089493219311
AASS	0.847251510142626	1	0.902130442746107	0.658960821774644	0.789148418604822	1	0.865602136993406
AATF	0.775743048239699	0.815920787181271	0.866138730378763	0.442560896487856	0.752111261536146	0.91693233286658	0.524505948944428
AATK	0.906006671550231	0.660595803328905	1	0.677349614531409	0.75528569913429	1	0.882671993584983
AATK.AS1	0.915330085993539	0.76584945754967	0.957466838939327	0.6374659789271	0.873843128487586	0.934235944648976	0.86031271403281
ABAT	0.981008948770045	0.972226847875972	1	0.769430860509722	0.972015803036296	0.851742734909508	0.943322595655035
ABCA1	0.991262799737755	1	0.964122491144211	0.556671648604418	1	0.905180805514486	0.947158959941385
ABCA10	0.894556147916899	1	0.934809912711097	0.602490446676091	0.797858167137213	1	0.661676930163127
ABCA11P	0.69855709953097	1	0.836551872661332	0.383412608588763	0.863352378480158	0.775112513786061	0.355773083646115
ABCA12	0.984153914688748	1	0.884005804896391	0.927552488109281	0.927794231802875	1	0.966850739432871
ABCA13	0.896198963978332	1	0.960464346474728	0.933936969963528	0.91137709555047	1	1
ABCA2	0.874115489672335	0.900090133326812	0.961385263990038	0.697538119773134	1	0.95810749832459	1
ABCA3	0.992936635222478	0.750447707830255	0.672487479741009	0.573519623901513	0.564038149267771	0.848337060556159	1
ABCA4	0.827016411687876	0.686564615095006	0.956065347120791	0.349153326630623	0.62991582784326	0.866684005117018	0.664381325892198
ABCA5	0.908379273009614	0.843411723947502	1	0.699623504957185	0.987952872498234	0.912105712553173	0.880167143720322
ABCA6	0.82139632857888	1	1	0.56064888192801	0.936773959227091	0.959770941057022	0.615547788910853
ABCA7	0.763343049242145	0.884343838166873	0.918068625174042	0.406948067131704	0.831340703055673	0.885969186690666	1
ABCA8	0.964482215762903	1	0.934104198157135	0.952774172870066	0.993049781282769	1	0.760767338291574
ABCA9	0.982378481883728	0.905973084125409	1	0.551093359008027	0.694032003220275	0.871632480260928	0.608325601133599
ABCB1	1	0.682604282020265	1	0.808127562353534	1	0.836343006857752	1
ABCB10	0.90183017322525	0.816257449816307	0.99860609614152	0.579005719761679	0.802032911791702	0.802972440666323	0.739669262031935
ABCB11	0.873743002972393	0.876620235962719	0.864523315567503	0.628308766855724	0.921779858071398	1	0.69737481892375
ABCB4	0.844144313514109	1	0.830669767520281	0.478103473509288	0.775477122305325	0.873361203764799	0.951873846899485
ABCB5	0.89986562948868	0.745755587823191	1	0.292115966535661	0.451174451552561	0.71002739635256	0.475197493108119
ABCB6	0.607032310759782	1	0.970014378581363	0.351281910632831	0.999381365110416	1	0.381627566513238
ABCB7	0.997216423086365	0.813366539521162	1	0.632595500629507	0.748379685321911	0.908577268665845	0.609377943190784
ABCB8	0.849289450326773	0.648745172495471	1	0.628986329815755	0.765372294029326	0.982228788231624	0.767691118662116
ABCB9	0.827527657962966	0.642308724915387	0.853431036348758	0.367037970761986	0.580075456838065	0.754360734568595	0.470622453555286
ABCC1	0.819296073765792	1	0.801986409126881	0.557989621267241	0.855832583794076	0.985907821814185	1
ABCC10	0.658677737203308	0.531127186576931	0.840223832978993	0.253986065010838	0.478430715698963	0.65311534030542	0.429783716479588
ABCC11	0.727628909968264	0.74867424306029	0.831016629189985	0.498345578669625	0.866422637390675	1	0.690897464197085
ABCC12	0.755958125275125	0.673900352757525	1	0.423805990023817	0.833532562073663	0.948704034429783	0.626323643377728
ABCC13	0.964649734101951	0.82250361039481	1	0.749986697669269	0.946119527237665	0.991884385781082	0.765007037869985
ABCC2	0.661086207059477	0.843749346573442	0.802285583470423	0.403484738467277	0.707023235844242	1	0.908187030414827
ABCC3	0.85353055596586	0.904046081933458	1	0.936358702214542	1	0.886938609657031	0.782663520563879
ABCC4	0.997751678369078	1	0.741341924708384	0.68745728784526	0.860910411576183	0.920510031654738	1
ABCC5	0.759646189480202	0.489570136196523	0.663864663960266	0.21619236480697	0.827540174435865	0.744117269766249	0.993300144888468
ABCC6	0.969479852912449	0.798225570170223	0.994491067971116	0.840586121535707	0.761910602853309	0.891588721654918	0.920868158001873
ABCC8	0.828601877298514	0.817252715919356	1	0.569686737816236	0.97070885501709	0.918939980834523	0.482772224719429
ABCC9	0.938286007094365	1	1	0.484714748782147	0.834714155729524	1	0.867145543340477
ABCD1	0.810520821240761	0.804942247673735	1	0.535259467276555	1	0.885598581468054	0.760926598458393
ABCD2	0.89048271585476	1	0.988782678025129	0.602125027890291	0.860115485723724	1	0.999938481956868
ABCD3	1	0.747962003742568	0.990360140526911	0.872648548582947	0.761315931616467	0.927051056332398	0.828825207143128
ABCD4	0.775002412545652	0.647714335608288	1	0.646266140856717	0.771217461141949	0.991469718850869	0.737952426429829
ABCE1	0.99766391229072	1	0.87470671781039	0.670559929565915	0.81979050805829	1	0.719911643261102
