GeneSymbol	Plasma cells	Monocytes	Eosinophils	Neutrophils	B cells	T cells	Macrophages
A1BG	NA	NA	NA	98.671522804298	262.323545254435	NA	NA
A1CF	0	2005.72967078781	0	NA	NA	NA	677.18861385758
A2M	NA	0	NA	3622.84958485793	7957.92759242009	0	0
A2ML1	NA	44.0224070551252	NA	NA	46.1907699177667	131.357169950709	33.260029285976
A3GALT2	42.5256804331778	104.821897393414	1556.48068020367	41.7728451717528	37.4526647835824	0	51.8086321701945
A4GALT	109.461719378545	NA	0	204.204642451517	NA	NA	NA
A4GNT	20.3153599052521	17.8813385428847	0	28.9508485039469	23.0190765682518	116.65334848114	45.7480933285887
AAAS	97.3709304518247	NA	0	332.715321622335	771.619819986609	1963.74084440715	518.686774843213
AACS	NA	690.767560082196	NA	NA	803.614801952011	NA	475.705268861112
AADAC	18.1461484600077	0	1769.27315835331	8.71244390577876	27.8091408329267	0	NA
AADACL2	12.8082693700584	NA	1356.33542270232	NA	23.1989626267656	NA	16.2328228919659
AADACL3	NA	NA	NA	42.1858106672389	79.8501296467116	216.538960702221	NA
AADACL4	19.8288127295438	NA	NA	29.7631546530591	NA	NA	32.1708959528071
AADAT	56.4649769002425	0	4582.36522370821	NA	NA	0	153.79032141873
AAED1	NA	0	NA	NA	NA	NA	NA
AAGAB	NA	327.651579929625	NA	126.600707510056	NA	NA	269.629541797446
AAK1	209.942073219846	NA	26883.9451121664	418.80137908556	0	2960.70810648326	109.855596529657
AAMDC	48.6374595510666	NA	NA	NA	0	NA	85.9774267400976
AAMP	348.023019082937	NA	NA	241.135177407063	NA	NA	592.37030454831
AANAT	30.9384142574692	154.515417464695	NA	59.224096112426	154.171967416139	262.35973706522	38.7053835789728
AAR2	137.180574833112	365.217462574961	0	268.221582833977	512.848026180931	NA	353.162538978951
AARD	89.0048715577988	84.0374320832191	0	78.674101985612	NA	NA	50.3317457068976
AARS	NA	NA	91467.1303555937	NA	NA	0	921.900936315446
AARS2	69.3181859921166	160.850395334627	NA	NA	250.623908430266	NA	104.656362177124
AASDH	NA	NA	12661.9140260602	NA	154.869460632246	NA	104.996361868951
AASDHPPT	NA	NA	NA	50.4966719691203	NA	NA	76.2520367318795
AASS	NA	NA	NA	NA	265.662955093145	NA	NA
AATF	NA	NA	22988.2650514882	NA	NA	NA	444.864280311455
AATK	76.2236280474414	411.215994693495	0	103.30765735255	356.71991576234	NA	54.2764017756183
AATK.AS1	NA	253.485660107774	NA	112.463913887328	167.166946990075	356.583420087535	NA
ABAT	NA	NA	0	NA	NA	2381.3089894007	NA
ABCA1	NA	0	19308.7965115498	815.850438674331	NA	2866.85700874823	127.020855239682
ABCA10	NA	NA	NA	31.2510977718762	NA	NA	NA
ABCA11P	NA	NA	NA	29.7130810528952	NA	147.472488491023	51.1116091066402
ABCA12	NA	0	NA	NA	NA	0	NA
ABCA13	89.0081931164605	0	NA	NA	NA	NA	NA
ABCA2	329.855848439208	354.201941584643	12732.852516877	307.479875340835	0	771.280226448594	0
ABCA3	NA	138.877641193592	NA	71.0614542252971	347.196171764721	NA	NA
ABCA4	NA	NA	NA	37.2516580379284	70.8717089792177	NA	NA
ABCA5	165.123429984765	388.921991658939	NA	211.092982495754	NA	1125.49498469625	123.305430860672
ABCA6	NA	0	NA	45.4033277807105	NA	NA	59.3677131985729
ABCA7	190.876995746576	122.280998493084	8068.9228409681	239.130486422176	228.552439318167	630.186347362954	NA
ABCA8	NA	NA	5109.6984099075	NA	NA	NA	NA
ABCA9	NA	NA	0	NA	91.162129873345	147.669405029541	40.8000779833008
ABCB1	0	NA	NA	179.824621311083	0	2977.62667906312	0
ABCB10	NA	334.168734435158	NA	233.880043479874	457.76561912053	1881.74322916491	NA
ABCB11	NA	NA	2978.31215918622	NA	NA	NA	NA
ABCB4	29.8930224859461	NA	4151.41531157527	46.5390088003384	75.7779432665651	171.47665739412	NA
ABCB5	NA	14.8830307605107	0	19.0615391719782	52.0571598560179	90.3189521125487	15.930176058379
ABCB6	NA	NA	NA	106.035877203293	NA	NA	149.463564348876
ABCB7	NA	397.539479190285	0	228.963439582887	695.322440352004	995.724902318851	387.551333587055
