GeneSymbol	Plasma cells	Monocytes	Eosinophils	Neutrophils	B cells	T cells	Macrophages
A1BG	139.601514431132	0	0	91.6856332685939	71.3656403546726	82.4513791538861	109.814170529182
A1CF	916.114886859705	2148.29061725097	0	582.999639841201	942.275224871508	3893.30792984984	0
A2M	0	2111.70303389439	13206.5128638932	2253.47010966478	429.912016476221	2108.86972608906	3744.32196552578
A2ML1	48.342852429796	11.3963143471945	0	25.6738547640622	26.9565745689563	7.09665690266917	36.0778708247102
A3GALT2	58.7157130984446	17.4235924878796	462.401975726137	33.3409188653565	46.1549499149114	0	44.8250661189082
A4GALT	129.068793591926	0	0	95.2760058349478	108.11556940138	114.864212334325	140.136130035918
A4GNT	25.1848189406065	146.617699439918	0	47.5019078001435	68.6663459334305	0	29.8887018202289
AAAS	267.173385448032	266.509590091951	7198.99185873774	604.488051142552	330.333099722476	623.785056113567	866.84767963531
AACS	198.297255905296	723.072997910943	0	478.477273932768	286.700116073309	149.622010082294	456.408902233275
AADAC	190.549546184723	11473.2428058857	0	2386.2834939761	1174.20019930342	6627.14985835183	0
AADACL2	17.7022422711715	10.4684061761622	346.885137619058	13.333817806878	15.3994908477714	26.3677459631204	21.5668787958421
AADACL3	45.3152620987953	0	1750.18170390611	54.1508531025363	34.2508341708383	0	3.14864339662043
AADACL4	23.4834743753672	81.3899692212019	1472.27243922829	32.9737524937166	36.0746969817153	4.53978795446216	30.5241342214888
AADAT	40.4011425411764	0	2957.82189705603	175.621585677878	15.5454968760946	97.2508133742627	202.317711018185
AAED1	158.248817476754	0	15855.6321586879	398.779963900371	0	0	427.175539535034
AAGAB	123.310677972937	306.700628100954	4014.82795926487	286.066572544019	147.608011552427	0	209.614205551946
AAK1	380.796769754936	387.419418519392	0	468.718096978648	332.145461824861	464.660090293853	3.34888891655457
AAMDC	0	892.461665512102	1328.01659360168	355.561350210244	132.520912415396	440.861429685444	2.70211580653953
AAMP	339.969913721664	567.243571835953	30142.2932977823	627.119686588345	361.888943093355	108.65623433293	316.450165104765
AANAT	74.2059905860814	165.415834458808	0	44.8069672909302	77.3736819231162	0	69.2119442766429
AAR2	376.724612805557	119.917741142611	9144.30073939497	435.037705301043	305.738092788395	98.6129499651415	189.713431620959
AARD	53.2182925088403	108.513311983429	0	52.2981829228545	42.974011623343	97.7025565351425	117.441946878826
AARS	646.102900690219	0	0	465.111706446589	618.616988526828	0	826.610671549869
AARS2	150.359464250206	0.61863201433172	7681.86616059493	100.306972693032	163.420852171932	211.904880258822	10.7824072816145
AASDH	64.0251438069952	38.7624312072343	6595.72324476649	149.588464458949	113.596810185561	208.263139777049	0
AASDHPPT	38.1257940702929	38.1281692002214	2299.04785714775	75.0727206609925	43.5169263380037	96.15364149539	57.8567621936821
AASS	121.122206224911	76.6022585881338	974.937260450443	0	179.259210034767	108.260369372581	0
AATF	525.354439033619	0	6063.29509585965	360.849628175585	342.398399270064	304.805859148559	370.938176368247
AATK	209.273043670406	75.1015102744724	0	133.242293174791	177.169828268079	203.603038895149	0
AATK.AS1	136.522092141491	26.6028369004177	1807.08160637597	55.0518226046916	116.357645551338	57.3188313323061	41.8131312310399
ABAT	267.781162810989	748.504082616749	0	396.242005864871	567.625290930266	1167.48817412175	0
ABCA1	11.7904908890155	224.08986254456	0	231.26487881239	91.2506324822349	210.791787754812	471.333294063113
ABCA10	8.20445370033801	195.995979491494	2157.35439636556	100.100425297424	74.1413916376165	188.756037128498	0
ABCA11P	38.5633311333347	47.2586113372434	4220.49363448238	54.5224502843049	33.08862749438	0	23.2555419298809
ABCA12	25.3831300447539	37.837359041062	967.441028540625	45.3075596039817	24.7251388618719	33.3591321045623	39.7936059802368
ABCA13	64.903404131671	0	0	66.2939471682876	43.6334542374794	0	117.417964324974
ABCA2	182.466024992902	194.305637528652	21029.2410284009	24.5594498260601	187.487439219695	344.180992951653	0
ABCA3	84.5225051348433	86.5782566764466	5131.52844896775	47.4119367238811	103.634536463622	109.759929555342	77.8293892712864
ABCA4	50.9535231864353	0.954816466670424	0	44.2007417485415	30.2546922464196	2.63406782164286	21.5940659763058
ABCA5	168.441954757261	571.253086359226	0	480.108518724987	324.329611701184	1549.02881476865	0
ABCA6	8.28511413033803	175.578380361099	1931.65032259938	124.760778002555	47.5452957865086	330.478016098321	24.7250970901909
ABCA7	145.998470758424	208.552012549036	0	105.98135096746	218.960649909387	5.19907579744669	132.995680783286
ABCA8	3.87813724608805	403.838907373541	1555.96783256305	33.3611691771578	39.4054339226071	283.404186928725	0
ABCA9	22.8050097451261	106.792845733488	0	90.1632064354908	42.452348610469	113.537481591018	40.7334561800625
ABCB1	1794.12901359302	0	144.030327159829	0	279.378437313039	4525.98037311828	0
