GeneSymbol	Plasma cells	Monocytes	Eosinophils	Neutrophils	B cells	T cells	Macrophages
A1BG	139.601514431132	NA	0	91.6856332685939	71.3656403546726	NA	109.814170529182
A1CF	916.114886859705	2148.29061725097	0	NA	942.275224871508	3893.30792984984	NA
A2M	NA	NA	NA	NA	NA	2108.86972608906	3744.32196552578
A2ML1	48.342852429796	NA	0	25.6738547640622	26.9565745689563	NA	36.0778708247102
A3GALT2	58.7157130984446	NA	NA	NA	46.1549499149114	NA	NA
A4GALT	129.068793591926	NA	0	NA	108.11556940138	NA	140.136130035918
A4GNT	25.1848189406065	146.617699439918	0	47.5019078001435	68.6663459334305	0	29.8887018202289
AAAS	267.173385448032	NA	NA	NA	330.333099722476	NA	866.84767963531
AACS	NA	723.072997910943	0	NA	286.700116073309	NA	456.408902233275
AADAC	NA	11473.2428058857	NA	NA	NA	6627.14985835183	0
AADACL2	17.7022422711715	NA	NA	NA	NA	26.3677459631204	NA
AADACL3	45.3152620987953	NA	NA	NA	34.2508341708383	NA	NA
AADACL4	NA	81.3899692212019	NA	32.9737524937166	36.0746969817153	NA	30.5241342214888
AADAT	NA	NA	NA	NA	NA	NA	202.317711018185
AAED1	NA	NA	NA	NA	NA	NA	NA
AAGAB	NA	NA	NA	286.066572544019	147.608011552427	NA	209.614205551946
AAK1	NA	NA	0	NA	332.145461824861	NA	NA
AAMDC	NA	892.461665512102	NA	355.561350210244	132.520912415396	440.861429685444	NA
AAMP	339.969913721664	567.243571835953	30142.2932977823	627.119686588345	361.888943093355	NA	316.450165104765
AANAT	NA	165.415834458808	NA	44.8069672909302	77.3736819231162	NA	69.2119442766429
AAR2	376.724612805557	NA	NA	435.037705301043	305.738092788395	NA	NA
AARD	53.2182925088403	NA	NA	52.2981829228545	42.974011623343	97.7025565351425	117.441946878826
AARS	646.102900690219	NA	0	NA	618.616988526828	NA	826.610671549869
AARS2	150.359464250206	NA	NA	NA	163.420852171932	211.904880258822	NA
AASDH	NA	NA	NA	NA	113.596810185561	NA	NA
AASDHPPT	38.1257940702929	NA	2299.04785714775	75.0727206609925	43.5169263380037	96.15364149539	57.8567621936821
AASS	121.122206224911	NA	NA	0	179.259210034767	108.260369372581	NA
AATF	525.354439033619	NA	NA	NA	342.398399270064	NA	370.938176368247
AATK	209.273043670406	NA	0	NA	177.169828268079	NA	NA
AATK.AS1	136.522092141491	NA	NA	55.0518226046916	116.357645551338	NA	NA
ABAT	267.781162810989	NA	0	NA	567.625290930266	1167.48817412175	NA
ABCA1	NA	NA	0	231.26487881239	NA	NA	471.333294063113
ABCA10	NA	195.995979491494	NA	NA	74.1413916376165	188.756037128498	0
ABCA11P	38.5633311333347	NA	4220.49363448238	NA	NA	NA	NA
ABCA12	25.3831300447539	37.837359041062	NA	45.3075596039817	24.7251388618719	33.3591321045623	39.7936059802368
ABCA13	64.903404131671	NA	NA	NA	NA	0	117.417964324974
ABCA2	182.466024992902	NA	21029.2410284009	NA	187.487439219695	NA	0
ABCA3	84.5225051348433	NA	NA	47.4119367238811	103.634536463622	109.759929555342	77.8293892712864
ABCA4	50.9535231864353	NA	0	NA	NA	NA	NA
ABCA5	NA	NA	NA	480.108518724987	NA	1549.02881476865	NA
ABCA6	NA	NA	NA	124.760778002555	NA	330.478016098321	NA
ABCA7	145.998470758424	NA	NA	105.98135096746	218.960649909387	NA	NA
ABCA8	NA	403.838907373541	NA	NA	NA	283.404186928725	NA
ABCA9	NA	NA	NA	90.1632064354908	NA	113.537481591018	NA
ABCB1	NA	NA	NA	NA	NA	NA	0
ABCB10	273.583812035665	607.312591446092	0	386.840352006013	361.64570365234	649.959935124833	217.231288826905
ABCB11	19.9004227933626	64.4643139584328	NA	NA	31.6064586693576	NA	57.5522482082236
ABCB4	NA	141.920048352927	NA	NA	NA	NA	NA
ABCB5	25.5108338072264	0	NA	15.0698079735394	15.4221394579279	2.45297243738891	NA
ABCB6	108.623867102042	NA	NA	NA	NA	NA	NA
ABCB7	NA	NA	NA	701.65094449327	NA	912.112891285958	NA
ABCB8	197.786394700528	NA	NA	150.707739279927	136.154859440725	NA	174.946380440682
ABCB9	75.4916027011581	NA	NA	78.4914979347687	84.4040540708083	188.249424526107	NA
ABCC1	245.695947246118	NA	0	548.186007978261	449.143830663669	NA	770.527165650952
ABCC10	318.532205260538	NA	0	241.191595413321	250.94155543921	NA	NA
ABCC11	72.1803957481072	NA	NA	NA	NA	NA	NA
ABCC12	37.4250276821444	0	NA	21.4539073896336	29.9683404447306	33.6727732774417	22.1929840056096
ABCC13	89.7541656194831	NA	0	NA	103.559519754845	NA	0
ABCC2	NA	NA	0	0	NA	NA	0
ABCC3	820.192073783941	NA	0	NA	792.753432036821	0	2251.26373954325
