GeneSymbol	Plasma cells	Monocytes	Eosinophils	Neutrophils	B cells	T cells	Macrophages
A1BG	0.00128385879108943	1	1	0.330056431538319	0.0834259697845474	0.507136364321615	0.126163270743189
A1CF	0.452840333961464	0.720419770488851	1	0.868742472299736	0.521201992929495	0.418887426080852	1
A2M	1	0.753295204301827	0.96091370215909	0.571843261786011	0.791874661961615	0.691687404549713	0.215494303387493
A2ML1	0.000251410981882881	0.789036744090403	1	0.319563782779813	0.0249323570398516	0.832860326931411	0.073709537132775
A3GALT2	0.000207667111825369	0.729912920117186	0.819457334189318	0.27734263493103	0.00368775059712529	1	0.0625560681341559
A4GALT	0.012186380030089	1	1	0.452067672283074	0.0584636880503838	0.49750987813982	0.14853985431588
A4GNT	0.211290393560058	0.150238446592406	1	0.40981019401503	0.0141333658219954	1	0.476203216128234
AAAS	0.145246519214852	0.756775670076939	0.834978351116599	0.250347529210364	0.137368548006518	0.368908673516766	0.0393634364789418
AACS	0.0932611361867431	0.20273546081446	1	0.157396195183652	0.0514596855970817	0.727302160220617	0.0752365002463275
AADAC	0.950747384984179	0.462368542569748	1	0.792611531017997	0.753553875426731	0.588380980785036	1
AADACL2	0.00253859021222456	0.635236851134443	0.69533332155736	0.316425703378733	0.0155603742769345	0.152040117906344	0.0436549373866717
AADACL3	0.0255069645138048	1	0.618836718678944	0.305015485028161	0.129074622743	1	0.933009876882449
AADACL4	0.0206365850179685	0.0830244444130476	0.403392820051863	0.213112064217532	0.0061141448822153	0.893565691076374	0.124246827832194
AADAT	0.420034695032248	1	0.764556330243704	0.24254909232281	0.794061351011427	0.617812819445682	0.0804153713996437
AAED1	0.390216701198788	1	0.662395914829779	0.458422995444298	1	1	0.286036266706871
AAGAB	0.149581592135216	0.45171370937079	0.803694319407391	0.244670873459053	0.153202868307492	1	0.244013110978791
AAK1	0.0973447436853163	0.714316542409137	1	0.457947366417195	0.214753493783829	0.580343047483816	0.994122985424032
AAMDC	1	0.252226316217742	0.964886126957576	0.429665849791405	0.4732318233195	0.463923893606699	0.993334336071043
AAMP	0.0148750263858855	0.340735754451621	0.216567761450961	0.0918278724893732	0.0267247617681354	0.812806325478255	0.225512164842316
AANAT	0.0252563738393035	0.261266556641848	1	0.595159051715463	0.0462172730919076	1	0.274766270208886
AAR2	0.000638610966708335	0.751614541460062	0.551426840572682	0.0755023077717207	0.00752588964058451	0.741905254161032	0.261817718125951
AARD	0.00453531354841149	0.158909159913684	1	0.240782184730634	0.0335037643625734	0.113986719476123	0.00387862149022576
AARS	0.12497648804933	1	1	0.68807774344008	0.213205920472008	1	0.340091504462764
AARS2	0.0167743968746527	0.998122424129983	0.474170364371921	0.522422127502746	0.0272063324929203	0.321604998239411	0.924253476808809
AASDH	0.317988995483836	0.900597359994121	0.599971915331182	0.42206543968559	0.155221012697879	0.405032811512813	1
AASDHPPT	0.00277879537547148	0.434455722714559	0.251176037445828	0.0231296104446079	0.00392367054352039	0.0282280370625268	0.0182289417329399
AASS	0.0423337018063908	0.770920151478078	0.926427591107652	1	0.0177784739126416	0.604441877709731	1
AATF	0.000706659447531402	1	0.778468186042901	0.26930319524712	0.0238779371411757	0.477104020981415	0.132518197394919
AATK	0.0305084653116905	0.857580584028039	1	0.59187334681137	0.106211591562368	0.542088526078809	1
AATK.AS1	0.000702528896897015	0.848182578755729	0.746939583167695	0.506571395713055	0.00620681662364215	0.60410429570338	0.49093526151023
ABAT	0.380238253938017	0.61713867003715	1	0.653009325637301	0.140174298817992	0.333465833346862	1
ABCA1	0.923045032780638	0.713473098000511	1	0.523606169322591	0.540661903035909	0.662519048628131	0.0975985032047628
ABCA10	0.828677828281754	0.313189817089534	0.776637327116364	0.378786453219397	0.130230939181802	0.225207221226347	1
ABCA11P	0.0928381236809587	0.654755630708288	0.331342867185519	0.389016221039614	0.214950536333604	1	0.610512926323171
