GeneSymbol	Plasma cells	Monocytes	Eosinophils	Neutrophils	B cells	T cells	Macrophages
A1BG	0.0162736654466457	1	1	0.802809154558116	0.167380973358265	1	0.454214309732422
A1CF	0.535862594620219	1	1	1	0.576948698608774	1	1
A2M	1	1	1	0.854193099494644	0.818639287928116	1	0.499943464720208
A2ML1	0.0119098287698055	1	1	0.802809154558116	0.0987398685393052	1	0.450349990930759
A3GALT2	0.0118551718848798	1	1	0.802809154558116	0.0598279377771793	1	0.450349990930759
A4GALT	0.0398117895455961	1	1	0.819809414837267	0.139745547585091	1	0.461163099162905
A4GNT	0.290191231744506	1	1	0.811905062690258	0.0822404702221561	1	0.705720630654336
AAAS	0.216948258353023	1	1	0.802809154558116	0.222444851551998	1	0.450349990930759
AACS	0.154428764507353	1	1	0.802809154558116	0.132162081786356	1	0.450349990930759
AADAC	0.995222148523373	1	1	0.958245825579119	0.783716205915699	1	1
AADACL2	0.0201445818730885	1	1	0.802809154558116	0.0847745776700591	1	0.450349990930759
AADACL3	0.0622402972923	1	1	0.802809154558116	0.21431518360555	1	1
AADACL4	0.0541457713625793	1	1	0.802809154558116	0.0663727875033964	1	0.453723204796815
AADAT	0.503484295264175	1	1	0.802809154558116	0.820645082831826	1	0.450349990930759
AAED1	0.474675399521929	1	1	0.821276628255265	1	1	0.548108794552087
AAGAB	0.22195824587098	1	1	0.802809154558116	0.238986630857554	1	0.517552792300455
AAK1	0.159493328655434	1	1	0.821204909211579	0.298796598494261	1	1
AAMDC	1	1	1	0.816655865387413	0.534095884272316	1	1
AAMP	0.0445338722965572	1	1	0.802809154558116	0.101216132750911	1	0.506289649269151
AANAT	0.0618452027984972	1	1	0.862969517129047	0.125551402193924	1	0.53931356981552
AAR2	0.0143665451473962	1	1	0.802809154558116	0.0691663682386054	1	0.529290099432869
AARD	0.0247648452583974	1	1	0.802809154558116	0.109589750251393	1	0.450349990930759
AARS	0.193119870514204	1	1	0.905535175966005	0.297197139608307	1	0.590767384665162
AARS2	0.0476381117142343	1	1	0.836286838330867	0.101839346678996	1	1
AASDH	0.401700244864053	1	1	0.814004456717306	0.240952635546142	1	1
AASDHPPT	0.0207154157129181	1	1	0.802809154558116	0.0608443042966265	1	0.450349990930759
AASS	0.0873580999227838	1	1	1	0.0888195123444747	1	1
AATF	0.0144554326631127	1	1	0.802809154558116	0.0975229857262556	1	0.454480876885869
AATK	0.0702004937328039	1	1	0.861699725501834	0.191166024011534	1	1
AATK.AS1	0.0144554326631127	1	1	0.831425595565201	0.0665926663630143	1	0.717535765106484
ABAT	0.464403552089994	1	1	0.889000487887183	0.225359893947088	1	1
ABCA1	0.970121328418936	1	1	0.836614039103422	0.594396555380091	1	0.450349990930759
ABCA10	0.885922395475567	1	1	0.807018767588806	0.215452335286077	1	1
ABCA11P	0.153906974082944	1	1	0.809016082846933	0.298935028959205	1	0.819466987664947
ABCA12	0.0315624112419161	1	1	0.802809154558116	0.0958717283037785	1	0.450349990930759
ABCA13	0.118754089670179	1	1	0.827236812910083	0.352322006049421	1	0.452372835510585
ABCA2	0.316128472841726	1	1	1	0.384637779117867	1	1
ABCA3	0.0298588979580232	1	1	0.83637458884253	0.0674510968070948	1	0.47186132441906
ABCA4	0.0188365228368957	1	1	0.802809154558116	0.147084922497665	1	0.659271360114461
ABCA5	0.751036710583113	1	1	0.906542999839958	0.572779787778171	1	1
ABCA6	0.939139323877908	1	1	0.825589428263681	0.567779526992844	1	1
ABCA7	0.059880271184914	1	1	0.835491672157301	0.0709316794144195	1	0.54353218264042
ABCA8	0.99876005139816	1	1	1	0.679499336233861	1	1
ABCA9	0.602938881467174	1	1	0.809699138421299	0.407199526197536	1	0.805962498736754
ABCB1	0.509846611294671	1	1	1	0.9335445827629	1	1
ABCB10	0.10180001045277	1	1	0.802809154558116	0.115073531551896	1	0.669119022352928
ABCB11	0.329658992881808	1	1	0.888509523999933	0.224688591131345	1	0.454381947108496
ABCB4	0.106424043250327	1	1	0.895431943387871	0.112542652514658	1	0.936847640041216
ABCB5	0.0143102402996729	1	1	0.802809154558116	0.106025262067463	1	0.637161867519247
ABCB6	0.0951403426795864	1	1	0.887882777718259	0.152161374744021	1	0.727623848814449
ABCB7	0.522360866920844	1	1	0.802809154558116	0.38853904038723	1	0.910849143114929
ABCB8	0.016597706418678	1	1	0.802809154558116	0.104017245757253	1	0.450349990930759
ABCB9	0.0326230524055582	1	1	0.802809154558116	0.0788330921029188	1	0.892635076029937
ABCC1	0.41577148511795	1	1	0.821204909211579	0.240952635546142	1	0.471057400315787
ABCC10	0.0353417889826021	1	1	0.814004456717306	0.14424504048889	1	0.578352328904672
ABCC11	0.0364381540205462	1	1	1	0.365305449371819	1	0.691231529342319
ABCC12	0.0116395492654934	1	1	0.802809154558116	0.0564372478362208	1	0.450349990930759
ABCC13	0.179042977915229	1	1	1	0.213430093147422	1	1
ABCC2	0.697473747373757	1	1	1	0.841325735764873	1	1
ABCC3	0.442097839416155	1	1	0.997571651623024	0.521306924432818	1	0.519207544912813
ABCC4	1	1	1	0.838245497916973	0.592440409571462	1	0.450349990930759
ABCC5	0.219562123568857	1	1	1	0.282945170141218	1	0.921602014243401
ABCC6	0.360833522040858	1	1	0.932159907569565	0.268322744185057	1	1
ABCC8	0.0725875969304911	1	1	0.91883112431989	0.478880081320692	1	0.981775066561516
ABCC9	1	1	1	0.802809154558116	0.270165199286017	1	0.454381947108496
ABCD1	0.499228495359796	1	1	0.990952356554111	0.61042594420282	1	1
ABCD2	1	1	1	0.854193099494644	0.227862315268935	1	1
ABCD3	0.273190951697401	1	1	0.990304771956689	0.315999253370251	1	1
ABCD4	0.164300865619788	1	1	0.802809154558116	0.0947681097639107	1	0.826967313613733
ABCE1	0.643395384107295	1	1	0.808989486004615	0.745644873860455	1	0.548601207198999
ABCF1	0.0261969981100455	1	1	0.802809154558116	0.120272280397196	1	0.703743497704038
ABCF2	0.0494668253638172	1	1	0.802809154558116	0.14840670404465	1	0.554637922062936
ABCF3	0.0141701239990417	1	1	0.802809154558116	0.0511060812853317	1	0.450349990930759
ABCG1	0.479194838219393	1	1	0.802809154558116	0.141733391688856	1	1
ABCG2	0.738315778134076	1	1	1	0.845998050203809	1	1
ABCG4	0.0151029217856474	1	1	1	0.104821182817427	1	0.974639503362084
ABCG5	0.87042670845886	1	1	1	0.898964075380111	1	1
ABCG8	0.693509228493671	1	1	1	0.953714929204879	1	1
ABHD1	0.0597198753756958	1	1	0.802809154558116	0.104429327987749	1	0.634379484532343
ABHD10	0.629062080506591	1	1	0.802809154558116	0.218735225579226	1	0.535172282440089
ABHD11	0.0253108822996175	1	1	0.859030195084721	0.138061206600129	1	0.450349990930759
ABHD12	0.0735255813666794	1	1	1	0.104262705720016	1	1
ABHD12B	1	1	1	1	0.904158608080649	1	0.59979315001074
ABHD13	0.0267732651711126	1	1	0.817228692224054	0.110663675432383	1	0.663448674517294
ABHD14A	0.503995740217292	1	1	0.802809154558116	0.180515477765659	1	0.491735339845394
ABHD14B	0.146899737470353	1	1	0.839262689563744	0.15502014415701	1	1
ABHD15	0.105764532101955	1	1	0.951400836135626	0.201666917682896	1	1
ABHD16A	0.0587342982613587	1	1	0.802809154558116	0.144654256636902	1	0.709234206936142
ABHD16B	0.0308118040564836	1	1	1	0.175376028227718	1	0.51849216700929
ABHD17A	0.0881695206747155	1	1	0.818908247326883	0.138389943453825	1	0.450349990930759
ABHD17AP4	0.0679001085344634	1	1	0.984101624313488	0.37515259361583	1	0.468795605039336
ABHD17B	0.0618722898082427	1	1	1	0.167324536034034	1	1
ABHD17C	0.287293192675734	1	1	0.940721111141791	0.312646426534156	1	0.466210673941154
ABHD2	0.219519187373969	1	1	0.802809154558116	0.265990239801525	1	1
ABHD3	0.0518049304232755	1	1	0.983094846902656	0.134477031915969	1	1
ABHD4	0.483224786899929	1	1	0.988167802651263	0.359144555514343	1	1
ABHD5	0.325422728589928	1	1	1	0.717873181860092	1	1
ABHD6	0.756351641722432	1	1	1	0.711142357844627	1	1
ABHD8	0.0127485517698647	1	1	0.804681560955657	0.0692646860888394	1	0.450349990930759
ABI1	0.0162736654466457	1	1	0.802809154558116	0.0650045812321181	1	0.608892373892095
ABI2	0.110978958610393	1	1	0.835737133069429	0.379646607557115	1	0.450349990930759
ABI3	0.464175024239498	1	1	0.813396439598485	0.153100221664405	1	0.4698051211881
ABI3BP	0.904647785730131	1	1	1	0.278577536676954	1	0.784300272861803
ABL1	0.254383749989379	1	1	0.911026009088246	0.244782844741583	1	0.454381947108496
ABL2	0.0578135046332389	1	1	0.809016082846933	0.123143995381325	1	0.836633801663542
ABLIM1	0.104699021946526	1	1	0.802809154558116	0.0495689789969062	1	0.452372835510585
ABLIM2	0.132855011997772	1	1	0.956007923239677	0.0968223619040319	1	0.940830299989588
ABLIM3	0.0187523828325464	1	1	0.802809154558116	0.253008927520574	1	0.450349990930759
ABO	0.179092412310758	1	1	1	0.675729297170445	1	0.704103192070623
ABR	0.0684174596750671	1	1	0.855389408571701	0.190824620082219	1	0.450349990930759
ABRA	0.0634723536513722	1	1	0.999443834971625	0.233084475331104	1	0.633027408502067
ABRACL	0.92914426544911	1	1	0.802809154558116	0.158873064367007	1	0.716248962874211
ABT1	0.182377176299945	1	1	0.802809154558116	0.179790649325073	1	0.592244953994928
ABTB1	0.121259633581544	1	1	1	0.15048863167928	1	1
ABTB2	0.208804236956831	1	1	0.802809154558116	0.253729821473229	1	1
ACAA1	0.482636032423967	1	1	0.95994676041316	0.247826325037229	1	1
ACAA2	0.315466517595967	1	1	0.802809154558116	0.215167879579625	1	0.450349990930759
ACACA	0.234840160383099	1	1	0.802809154558116	0.295288782304774	1	0.4794287291151
ACACB	0.258585258070746	1	1	0.802809154558116	0.133950542173358	1	0.737726215982389
ACAD10	0.559376767615634	1	1	0.802809154558116	0.256208406237979	1	1
ACAD8	0.0220537168870048	1	1	0.845613682834964	0.104179911281914	1	0.450349990930759
