GeneSymbol	Plasma cells	Monocytes	Eosinophils	Neutrophils	B cells	T cells	Macrophages
A1BG	128.789966177658	268.35485941335	1	135.854532064556	88.5088744371438	1	93.1348778595612
A1CF	546.419283075233	1	1	1	214.89127955751	1	1
A2M	1262.22825128495	1723.7936550401	0	2992.44440970573	1607.64439580872	3809.52560735145	2419.94987696388
A2ML1	40.2339199767453	31.3041424264314	1	39.8289215932669	30.8294529513485	64.763787240033	29.0181292721928
A3GALT2	49.2750685796758	1	1	55.8767316339443	33.91633780089	1	51.0278712616815
A4GALT	88.4310380730134	735.048911727801	1	298.742327788582	135.652154933235	1	225.308598563519
A4GNT	38.933790780597	38.4931492620282	1	40.1062557773121	33.209491373634	1	22.1982197755608
AAAS	320.624955427447	1	1	340.531226283375	348.145211364987	863.107176566079	512.664173302667
AACS	325.944575027652	1	1	184.482155513145	227.070935426236	1	292.627108819215
AADAC	21.2283746394889	0	31.5060384718531	42.376699397758	13.3427086456018	0	11.0915534565367
AADACL2	18.7292981772962	11.08871888281	1	16.9236144950782	15.0110748510105	29.3301528163769	18.0817636264731
AADACL3	34.4479713281899	1	1	38.0026903364159	32.0626418254526	1	28.1676890748859
AADACL4	24.8691197402292	1	1	26.5344636283171	22.7317765389859	1	27.9698191463601
AADAT	99.1640665952569	1	1	59.7592646616748	94.1950833314226	1	103.024505891731
AAED1	96.5481928280385	0	72.7254856444102	420.911168930447	215.677742239399	123.889414200789	473.61333907935
AAGAB	256.292326272093	1	1	167.890871554439	190.730761244164	1	1
AAK1	364.491872176757	323.980194549754	1	304.698746634674	282.945286538378	678.506795385963	232.46454571673
AAMDC	61.0777807623114	90.0539847554854	1	50.101447324655	57.890887739489	1	58.4902602971572
AAMP	372.852205423326	1	1	229.98592986023	319.271116899268	1	509.223505935427
AANAT	72.0454605373088	145.16190266334	1	60.9876924015335	59.8411301686094	1	68.7792048264805
AAR2	269.841977421351	1	1	270.186734102692	262.020513881142	653.022876969023	387.006683364637
AARD	63.6996017387438	104.850509674094	1	68.033050817377	67.073480405557	1	87.7658686688299
AARS	642.191778307393	1	1	796.840936681254	769.984454176268	1	852.291008530306
AARS2	110.096209989355	129.374597550526	1	87.5100720837385	112.136137495825	1	113.13405664424
AASDH	81.1115565785279	1	1	80.1006465370136	113.860861307624	1	55.2177582549828
AASDHPPT	44.0512257963544	1	1	59.4365327107663	57.2582373287458	1	63.8242482061829
AASS	90.2422812222498	210.889743390952	1	141.943643753888	114.906579178549	1	82.0002463970782
