GeneSymbol	Plasma cells	Monocytes	Eosinophils	Neutrophils	B cells	T cells	Macrophages
A1BG	2.63226356883479e-18	0.00305691428759775	1	4.46788361973769e-11	3.51807861436036e-07	0.0929786202065603	0.013530537689613
A1CF	6.9057551368107e-09	0.65233206640868	0.335621105460063	0.502977245586103	0.0777583908004993	0.61092862799599	0.45976681391448
A2M	0.0122601355462363	0.666328923667901	1	0.000321581054609745	0.02757652896086	0.522842143863938	0.152903558370472
A2ML1	5.74681210057808e-30	0.0593847527251546	1	7.25079655270456e-19	7.50700067683169e-16	0.00969309097947096	7.31920520089488e-05
A3GALT2	1.6623144048721e-20	0.199159623790428	0.758745140111008	7.68897788759577e-14	2.65433619313435e-08	0.18525791294324	0.000139392386875933
A4GALT	0.00601247288440367	0.00496504299437664	1	1.04990317435879e-07	0.00389902860765833	0.878312939212079	0.0379174838579244
A4GNT	3.51343292249599e-22	0.0841566800231302	0.368314985308402	1.57382124407736e-13	3.9725807476521e-12	0.265334237452954	0.0189908886939701
AAAS	1.60038595954079e-17	1	0.544411498283909	1.28382672979839e-10	2.13696246989809e-12	0.0126935636965511	9.84214977642989e-07
AACS	1.29739575886275e-18	0.394798629452171	0.154295216932559	6.13865528097132e-05	1.82510278472528e-07	0.970800827180903	0.00211552817580737
AADAC	0.00277594266701714	1	0.766709122209158	0.000262521921139213	0.184348115881716	1	0.636007354526627
AADACL2	8.54013070599563e-31	0.136162826842993	0.0415977992685077	1.05381306376898e-17	2.56615156773781e-17	0.00931972835810989	1.62330089430422e-07
AADACL3	4.5376806253984e-21	0.635919065512717	0.832326984052234	8.03929767222046e-14	1.09122567694994e-12	0.0595415946453234	0.00166712832258122
AADACL4	2.75567965737429e-24	0.163702868932866	0.226693973104021	9.31170761140294e-16	8.80045592781259e-15	0.111611599826317	2.00192028889308e-06
AADAT	9.57102464184397e-10	1	0.0856862341879302	0.00967136195816679	1.66661284017611e-05	0.775106193888873	0.0340140916511213
AAED1	0.0883095776017345	1	0.933166426916904	1.40641766567027e-05	0.00991982776812736	0.854970384306076	0.0154442735511148
AAGAB	3.42065581863188e-15	0.439961327913315	0.425767664297915	0.000101029086312132	2.11185597432144e-06	1	0.288910561917874
AAK1	1.59254827706734e-27	0.0513431849690598	0.294657008931971	6.95601911204258e-14	2.52596295281318e-14	0.00688400989195287	0.00119300055720315
AAMDC	3.86515230654949e-28	0.00122987273902261	0.0176454074990469	5.4418150910656e-14	1.62617622800034e-18	0.249356340236791	1.94696907056772e-06
AAMP	2.18357801972101e-16	0.189624536189314	0.119221605132186	9.35714639016411e-05	1.93023478063611e-08	0.879942046383577	4.95890325723731e-05
AANAT	1.79599474587439e-19	0.00245605672499288	0.43398267201596	5.81334649676831e-09	5.71652034459538e-10	0.138525563293535	0.000718036972944039
AAR2	1.40258126888011e-26	0.651819660824333	0.0551132889784561	2.18298913092937e-16	1.02679274462378e-17	0.000870652505544107	4.04779740591838e-10
AARD	5.1889851160393e-28	0.00037293729367052	0.0962038076763295	8.44074144036983e-19	1.3883506708396e-20	0.303755042514889	2.25188656501611e-10
AARS	3.31948471548017e-14	1	0.846840899425616	2.89307193654499e-10	3.58912108569013e-11	0.220424484898838	0.000395702130887293
AARS2	1.41112877695297e-27	0.0106173515531365	0.263364822862092	4.30665858667594e-13	1.64097192675326e-19	0.277403038624145	7.31932736006859e-07
AASDH	8.3042553603325e-16	0.435624161146341	0.273582685444855	1.44348058817651e-08	3.74727054255713e-15	0.738875821863895	0.0399171386146853
AASDHPPT	3.99866132323128e-17	0.881265332359411	0.0408079066372932	5.92254382050295e-14	4.90826727303498e-15	0.293584359749877	9.80291893080226e-06
AASS	8.57447380597216e-11	0.0301622407639501	0.332373088400496	1.74907143152997e-10	4.59380781228708e-09	0.315967108668247	0.0444858373013101
AATF	4.3280700172509e-22	0.345209300532115	0.40454519722825	1.11191347230562e-17	6.65781588951007e-20	0.0630389594914886	5.12279814765477e-06
AATK	2.39756781885235e-16	0.0084996088886705	0.893208121335328	9.76895836384408e-12	1.90407797585939e-06	0.237052237251574	0.0330791478654542
AATK.AS1	8.68714296115859e-19	0.0113776517388328	0.685494001040392	2.50454101793899e-07	1.1904460899957e-06	0.1224360478888	0.00268998872440738
ABAT	4.91056894087136e-09	0.0331905993186351	0.0506589962682542	0.000147610450457929	5.60032131993787e-06	0.0953726392647556	0.992574801589525
ABCA1	0.128600874313598	0.322122294916156	1	3.62318228109993e-07	0.19225990250124	0.42967807471456	0.09535578951722
ABCA10	9.41088465944421e-17	0.425211788873007	0.680200772187188	9.14829406258154e-05	1.78463607060387e-07	1	0.802160747878153
ABCA11P	3.65075329123812e-16	0.366955133443262	0.21505357028853	8.77886641948822e-10	1.29942175033085e-14	0.647124702298098	0.0398894084584694
ABCA12	3.12027525369192e-06	1	0.544399662630523	0.120600852614452	0.0027571709128316	1	0.752991350950927
ABCA13	2.37120723263525e-11	1	0.660200171431625	5.69283091303726e-05	8.95252983067218e-06	1	1
ABCA2	1.68086992631106e-12	0.0101879107048476	0.900439629454474	3.12161748390066e-09	1.58161426331978e-07	0.0502606477531461	0.175613816310924
ABCA3	1.23120729620848e-21	0.301445640260591	0.0982741638842586	5.66455194407218e-10	9.77713040264311e-21	0.155572422618805	9.6930910938688e-06
ABCA4	3.76928840566458e-31	0.00412717053922649	1	8.53723340095243e-22	7.84723020535064e-20	0.0172462769629586	6.18227360452626e-10
ABCA5	1.8998562120973e-13	0.0702554421481911	0.760450921564221	0.0645522494448459	5.69516919277629e-05	1	1
ABCA6	7.74083390377255e-05	0.94642653223599	0.827281738203027	0.000271295684647429	9.178643548023e-07	0.706756453978069	0.0105653898129358
ABCA7	2.41703883708067e-12	0.0309349684071179	1	3.05936652069213e-12	6.30211332374843e-07	0.371106032422593	0.183917183609371
ABCA8	0.00428194558711777	0.480101887827863	0.487697004578307	0.186708812258802	0.555439664402406	1	6.61831183503545e-06
ABCA9	3.65145319881168e-19	0.107435211397782	0.311207065048705	6.13367674886541e-09	4.84528897442812e-11	0.820473782663221	0.00330284898871995
ABCB1	0.00184228653090544	0.0105540684595726	1	0.220043352036305	0.308886783859956	0.239278222392012	1
ABCB10	1.72707703291695e-31	0.0153576917647759	0.236366800495992	5.44183547472308e-16	2.01922208672111e-18	0.00197263125516986	3.09860603550515e-07
ABCB11	6.95453791840434e-15	0.47567525484556	1	5.94005575910887e-07	5.21567865273223e-06	0.606679342006847	0.057145072896638
ABCB4	0.26280426133853	0.413192331379472	0.839461601305562	0.0803646851150339	2.5691172676546e-11	0.522013961823709	0.760135398697006
ABCB5	1.07627474707779e-33	0.0212370769777887	0.533673117552985	5.97320108154173e-25	3.32558377278176e-24	0.0017300255012056	1.86663832159391e-11
ABCB6	8.46962804002505e-22	0.965302126431813	0.87542459634606	8.68736946159369e-10	1.28527250878033e-09	0.416891542496812	0.000287717459266109
ABCB7	3.294948845727e-12	1	0.366968821793778	3.90276980237517e-07	1.26908673614411e-10	0.269436384697212	0.00192136325357377
ABCB8	3.33601264443359e-23	0.00475602191588764	1	1.58915250586597e-10	3.07333656314389e-10	0.080482550461837	0.0018712674255627
ABCB9	8.64138109747367e-26	0.0249582936397539	0.57081338838748	1.37451696164866e-16	5.0940104955634e-13	0.0178435683341787	6.60662292246634e-05
