GeneSymbol	Plasma cells	Monocytes	Eosinophils	Neutrophils	B cells	T cells	Macrophages
A1BG	5.31814901168798e-18	0.0174055476085883	1	1.0712165777721e-10	4.96553371676236e-07	0.360394595236039	0.0206303965675658
A1CF	8.47519535430714e-09	0.825581205027536	0.923641646588464	0.50922595295058	0.0808527688774141	0.917751436203838	0.494361742568038
A2M	0.0130252064534657	0.838187635423985	1	0.000375204727662661	0.0291856398370159	0.843430360398449	0.179523612661356
A2ML1	6.83372191980477e-29	0.133341082058302	1	8.44127448820605e-18	3.17081668675093e-15	0.141319602288895	0.000238219125285933
A3GALT2	4.16798713637206e-20	0.333487560290502	1	2.94990959055464e-13	4.12183447620643e-08	0.494594063799323	0.000405595300988435
A4GALT	0.00642398026573743	0.0233118970729123	1	1.63297252484354e-07	0.00426101466491737	1	0.0511602869211905
A4GNT	1.06749551720263e-21	0.173149694676827	0.952568097314145	5.71178008964669e-13	9.39703029387268e-12	0.592816098742283	0.0277470312682021
AAAS	3.04168601149941e-17	1	1	2.87326191582592e-10	5.24883383769783e-12	0.154378388143203	6.961790131692e-06
AACS	2.69720836248454e-18	0.56247763656958	0.698894665224013	7.48175697503522e-05	2.63734085210442e-07	1	0.00408471669236537
AADAC	0.00298647044590882	1	1	0.000307714665861579	0.188994525242155	1	0.668655483420637
AADACL2	1.22489123916702e-29	0.249198822554349	0.429775956033517	9.13396098076003e-17	1.44362284791854e-16	0.139201059416816	1.60298639785899e-06
AADACL3	1.20523900098189e-20	0.809822186641072	1	3.07368620154925e-13	2.78414853340692e-12	0.294039023444832	0.00332954240054845
AADACL4	1.11215886365037e-23	0.287068148838937	0.803766384108372	5.24348802365229e-15	3.09603360467212e-14	0.391472017630094	1.23012802987691e-05
AADAT	1.20598946492651e-09	1	0.561748106664094	0.0104812811847388	2.07865069117486e-05	1	0.046463863211387
AAED1	0.0921816250969019	1	1	1.79524489477939e-05	0.0106775701192326	1	0.0231158286447362
AAGAB	5.5430178102519e-15	0.611934037696225	1	0.000121406801478569	2.81472106098872e-06	1	0.321276705311316
AAK1	1.12002180729054e-26	0.119677528960284	0.882721196295302	2.69328142474265e-13	8.24893071895989e-14	0.127845114383861	0.00249755357825688
AAMDC	3.10384751233983e-27	0.0103857405537681	0.314660682922942	2.14135377895435e-13	1.18109346668756e-17	0.573725132063143	1.20366069304302e-05
AAMP	3.82191746062163e-16	0.320957085327839	0.635566777405273	0.000112654068348342	3.03460249796195e-08	1	0.000172086238175067
AANAT	4.04828332128573e-19	0.0153222362988202	1	1.04594462559965e-08	1.04530785871242e-09	0.430892921795102	0.00161319526975195
AAR2	8.29483928794434e-26	0.825336058827225	0.475398011184632	1.40627218558792e-15	6.28739446076733e-17	0.0719037533687775	1.55937213454115e-08
AARD	4.05293820708874e-27	0.00558974244603138	0.584039563209912	9.62938623351442e-18	1.61066645521446e-19	0.636472989479652	1.02085661575844e-08
AARS	5.07093335935612e-14	1	1	6.16463957076743e-10	7.53618424722342e-11	0.539023551520011	0.000974084237916154
AARS2	1.00271885379399e-26	0.0386772905575424	0.848945785132473	1.4492534172633e-12	1.47043955005145e-18	0.606911914128692	5.45369446231198e-06
AASDH	1.40129799944447e-15	0.607204595459691	0.863322839452244	2.4867471408552e-08	1.40391632431087e-14	1	0.0534775392132247
AASDHPPT	7.37141496959198e-17	1	0.425744524601771	2.31799712551574e-13	1.80323116854707e-14	0.624607090158866	4.48697233935994e-05
AASS	1.1214661110875e-10	0.0810915810991122	0.921549417007885	3.84073938709901e-10	7.64770562006964e-09	0.650107560423448	0.0588394388671568
AATF	1.2999269058256e-21	0.507077151793156	0.988283179137333	9.59117960733789e-17	6.53363010260258e-19	0.302314614993442	2.64467486923404e-05
AATK	4.18671710152032e-16	0.0333665645769527	1	2.59973866848726e-11	2.54667424442528e-06	0.559735684461083	0.0453408432898225
AATK.AS1	1.83514221875939e-18	0.0404857346596412	1	3.74716507286584e-07	1.61584805890919e-06	0.40882764586594	0.00503255475997455
ABAT	6.05174652627373e-09	0.08698676468227	0.459598764509225	0.000175510497338178	7.22619105374477e-06	0.364008871261027	1
ABCA1	0.133748352415306	0.481571797794152	1	5.3281285523122e-07	0.196958443479249	0.759883670033556	0.116793178111191
ABCA10	1.69047775535774e-16	0.595506018703471	1	0.000110213630578201	2.58110536131334e-07	1	0.831227127458479
ABCA11P	6.30282273769533e-16	0.531218838208826	0.786352358845459	1.75690399827419e-09	4.46032735419162e-14	0.944897320587855	0.0534465330808593
ABCA12	3.56736266740889e-06	1	1	0.124809913941878	0.00303463271936939	1	0.782991407897441
ABCA13	3.16763494990714e-11	1	1	6.95366123841305e-05	1.13796145704339e-05	1	1
ABCA2	2.36370431836201e-12	0.037658374548049	1	5.80095189740653e-09	2.29831558296616e-07	0.272361059563491	0.203673925993168
ABCA3	3.49607071792532e-21	0.45845308564787	0.590244917826579	1.16134332768413e-09	1.18192727331122e-19	0.454234276729676	4.44280971730187e-05
ABCA4	5.88812365085954e-30	0.020778624624948	1	2.21578283826279e-20	7.5701736091104e-19	0.172145172237977	2.13467038371398e-08
ABCA5	2.78928810931349e-13	0.151264996780406	1	0.0674642068880778	6.85166512032401e-05	1	1
ABCA6	8.5981802313886e-05	1	1	0.00031779105001144	1.25632279289272e-06	0.989503338749306	0.0165812093710924
ABCA7	3.37571453594434e-12	0.0825686290678838	1	8.85332201362945e-12	8.72954684634522e-07	0.705494967183799	0.212418594834136
ABCA8	0.00458826287522201	0.654794681179897	1	0.191955107512831	0.560441242401267	1	3.25496927493504e-05
ABCA9	7.99477874163493e-19	0.207882922415066	0.899801893696834	1.10119861335546e-08	1.00176661161178e-10	1	0.00601496338334864
ABCB1	0.00198861486549709	0.0385433521760043	1	0.225728450964356	0.314074874418637	0.562296584925451	1
ABCB10	2.90007092263655e-30	0.0497348509047703	0.816895281075797	3.2256576655486e-15	1.43306970691866e-17	0.0882448657409932	2.71705082278098e-06
ABCB11	1.1032494913167e-14	0.650314592015807	1	8.55231526918399e-07	6.74257154358146e-06	0.913946205057757	0.0735723478982457
ABCB4	0.270977655238769	0.582353578667174	1	0.083652347638609	5.4899070465963e-11	0.842755195416255	0.790173307944834
ABCB5	3.19958361353853e-32	0.062634751243407	1	4.24179545853091e-23	1.03760884862415e-22	0.0842860039023046	1.45316946149505e-09
ABCB6	2.4531082481529e-21	1	1	1.74006078656418e-09	2.26406517739726e-09	0.748770701341048	0.00074311068518564
ABCB7	4.57088106346999e-12	1	0.952045115290657	5.71763503576328e-07	2.49524249698927e-10	0.596924993292293	0.0037593362450507
ABCB8	1.15359713210406e-22	0.0226527090301155	1	3.51141234871239e-10	5.80566179909181e-10	0.338810388273145	0.00367675180303404
ABCB9	4.43427277055964e-25	0.0704667413521192	1	9.22426341063788e-16	1.35935542271692e-12	0.174400025623051	0.000218753459943064
ABCC1	2.57402247070267e-11	0.708996055306424	1	7.77737900217563e-11	1.50855038809176e-10	0.7252434589284	0.00427991886075633
ABCC10	2.73672179386865e-27	0.024458304665529	1	3.05049684096355e-14	5.81630543656092e-15	0.182763219809374	0.00843345512925203
ABCC11	1.88938325765096e-30	0.00330102616821987	1	8.62042733515469e-16	5.29117595371919e-19	0.224806635708703	5.69898830559735e-06
ABCC12	9.13164906147937e-33	0.14306349734724	1	6.08241267612184e-22	4.84714712549879e-20	0.0154769922960738	2.41646950461798e-06
ABCC13	1.1502519291931e-12	0.0815531229508028	1	0.0137738095101126	0.000448130688882448	1	0.968626681955611
ABCC2	4.3315453500396e-16	0.872223921427679	1	1.90835738802164e-11	1.65975153853227e-08	0.854883217396546	0.0680842379350063
ABCC3	7.3647538500904e-14	0.389072934899925	1	0.0125227297641746	3.25010412338844e-05	1	1
ABCC4	8.65777598655372e-05	0.872849732415841	1	0.000206705844357418	0.000486649014839148	1	0.00324903303589959
ABCC5	4.2203686439334e-13	0.450714659978483	1	0.000118891637738616	4.24487921737217e-05	1	0.2831404180005
ABCC6	4.85830505441673e-14	0.0317084632382576	1	0.00364926859304971	0.00129510025072735	0.699114962873548	0.252256505701962
ABCC8	3.66183523305712e-20	0.0326111077822779	0.893752755055385	1.77634684057572e-08	5.14304479230487e-07	0.2454999652553	0.00142289914406852
ABCC9	0.00463002239135791	1	1	5.9632515159656e-05	0.0989533425342091	0.648541464636547	0.720866286846555
ABCD1	1.85099120567225e-10	0.385798414917551	0.759935821533421	9.49749837776301e-06	0.00128505494021036	0.881846871618329	0.000172628428389139
ABCD2	0.0518757261020622	1	1	0.00513994714024386	0.000237813452220436	0.448979817688352	0.0867371827723813
ABCD3	5.43996545455953e-12	0.376023471125828	1	0.116799321252551	0.000110233178389357	1	0.39513328971668
ABCD4	2.34958752062023e-23	0.0279005010802056	1	4.53062975492235e-09	2.84756157494428e-12	0.816572109550448	0.0283230724534841
ABCE1	7.14837971173492e-05	1	1	0.000176361365023166	1.43313750969234e-06	1	0.0125220663324186
ABCF1	1.05201608524219e-27	0.0364986895825417	0.438973321175872	2.44722046121463e-18	8.93593803171326e-22	0.717280932937276	4.65292018556232e-09
