GeneSymbol	Plasma cells	Monocytes	Eosinophils	Neutrophils	B cells	T cells	Macrophages
A1BG	138.125962351987	62.9394500865575	0	0	95.2496533076801	103.998048686132	17.6315917999769
A1CF	753.311285867452	1165.23768274249	2929.11003331755	51162.2732819118	302.186546406525	1482.31410591463	11.5471216671553
A2M	8.66894324545778	2245.98383187643	6509.6177620084	0	363.175033021773	2555.16664767615	6012.86972410169
A2ML1	46.9372448788229	29.0885026854782	23.7770779083931	0	45.7357556839187	0	13.9931658020206
A3GALT2	62.1193404258664	40.6178384000066	114.573459830605	670.438619827738	25.8697182973101	0	0
A4GALT	134.032523437527	60.5900412564782	1.1443522902128	0	93.7237285412351	7.10932869888181	6.07282056027849
A4GNT	37.3061994083175	24.4478149392827	0	2404.41103392724	54.0386981212199	0	23.2919572186397
AAAS	360.680749587026	105.721745457677	848.856249789287	16335.6470317411	385.718404702255	291.924642626892	100.175942712747
AACS	276.223731579068	104.344545421084	210.815242518215	44047.6721119044	0	0	578.482734296485
AADAC	14.8867975372711	11.2301929723815	0	1180.80179771739	17.130287060272	0	19.5594679916491
AADACL2	20.6200433499683	8.43213132879255	63.616777840697	321.389596507836	0	35.4106160400863	21.9677662304199
AADACL3	42.9422499443492	3.22192660718605	0	0	40.2633783440896	56.302453602404	7.5234025987725
AADACL4	27.2651835316068	0.613186250548676	39.2252152987274	101.509213132503	18.8681343838223	45.0685084271911	42.0790804235629
AADAT	26.7654740448223	0	0	36976.7677189912	50.3036677026376	425.005350961154	442.025885722661
AAED1	69.405360757411	164.468967536309	315.312642829278	2991.00448112586	0	0	538.345171237938
AAGAB	229.800427655784	24.438647688723	0	5942.16950975299	10.3189931512803	224.726776505338	471.522746621173
AAK1	425.041618468196	544.577705601754	1057.39203404695	20461.5455255219	0	0	1443.99513493416
AAMDC	64.1965715170105	53.4823935297645	349.820348578655	935.68491766821	0	349.611234853612	310.274373987521
AAMP	252.307493892551	949.326360963259	0	36396.5729220911	574.346355678222	1386.24949997037	139.685049271784
AANAT	85.904758613174	0	0	687.934711669292	58.9156229256024	92.1520791638048	19.2716616152831
AAR2	308.518556170298	162.476008791256	897.946049938547	0	175.59343266604	649.287638380114	369.619150741639
AARD	76.3138712139445	0.115613061479485	173.045430122404	259.799991828802	70.5501950575237	141.43515110605	0
AARS	426.23819389417	240.086606679897	925.871820428331	0	186.750733756162	1510.4618374551	585.014002325507
AARS2	67.9973267742388	85.8190066849955	119.952679360773	7391.92171012082	58.319003343809	443.429481211503	224.134716431755
AASDH	58.171329640273	0	470.00847398427	16955.3671626439	0	400.814971879398	240.942532797017
AASDHPPT	42.4065374775675	33.6507250505051	180.686853248817	3964.4066541226	34.9333062013189	146.429780437915	131.502194574084
AASS	63.3596688777313	62.1282772834585	0	8711.29325281501	94.8279403248889	0	161.87953616026
AATF	497.418781304403	2.35658174448517	1158.86966834188	12106.9507064088	243.603613934809	626.121866756577	751.098965720564
AATK	167.374700455292	19.9787601117364	0	0	126.489086246285	0	0
AATK.AS1	138.582673462265	75.8334420447602	275.972312813108	0	27.944577726917	0	147.808593518022
ABAT	384.126876428171	0	1875.38639765388	6328.70535975081	0	0	71.1354185526878
ABCA1	175.840270004726	375.570756745633	1610.35707307587	0	0	330.973341583781	675.916883921032
ABCA10	58.3727574745674	0	141.790306910788	0	0	1.85966687269598	134.226036911889
ABCA11P	15.5026616151257	32.2807047558496	49.355491914462	5316.97625057598	39.8106479414776	244.571040437727	56.7883051758672
ABCA12	30.503595581066	10.3968888915217	0	1703.88975162355	35.1278919741427	40.0831960724559	22.1237741305886
ABCA13	27.9834754310231	63.3547772994717	0	982.194795090365	43.1206826729825	119.607656283827	36.03738929447
ABCA2	429.165499883232	0	0	0	0	0	860.959560311609
ABCA3	108.966245821739	9.75183803870158	20.407749300311	874.127975870987	62.9293272596888	70.7695100298763	179.690255448597
ABCA4	36.9473245625396	17.5071909767877	0	0	36.6651789799707	34.4619092154882	38.0524449972793
ABCA5	311.553895884678	0	382.984758086944	2208.89841456799	0	157.751493853807	1069.29493048256
ABCA6	51.0879870286803	0	3.51417378031033	1642.3183710489	0	0	190.76016867203
ABCA7	153.390365725932	177.570664859125	5.03627959847011	482.007150233408	180.872613541769	23.3755489994051	0
ABCA8	40.1902848676776	109.900548098402	337.593745185586	605.806372712161	0	44.0246689784491	679.826825702952
ABCA9	36.1004468417279	11.1334932814972	153.270782451179	0	6.1552154003244	36.9093539203547	162.027442125091
ABCB1	850.249526585537	0	0	52129.9651464275	0	1253.35097861294	2028.49985890567
ABCB10	286.249656388563	333.115487209099	171.860714995937	0	169.849732203133	519.164620911748	628.887146584979
ABCB11	42.805126717233	114.47201926373	504.412599648621	1785.59474013374	0	137.904564593529	0
ABCB4	37.5453270638485	24.465984833825	174.48449883961	357.179443152979	49.4043857106058	26.6200886922267	71.8887310504994
ABCB5	23.2705065201192	8.87286399421262	30.4514942158481	623.706568375694	11.3108318586424	0	14.0715089088733
ABCB6	89.5632669128173	94.0195971813041	200.239838032711	2414.93968043456	40.9101466028203	232.14961727964	0
ABCB7	266.274788348033	553.931894291893	1061.76306611093	5552.95962952273	340.468798849162	738.16600601913	204.581572724371
ABCB8	200.736349126255	141.545177229885	17.7398524366283	0	163.694151849157	22.4434831650342	0
ABCB9	96.2152140451386	70.4948706058772	397.397350365201	8969.56656719952	0	5.95436756582192	0
ABCC1	172.563885865292	199.933235722568	812.97157388865	0	135.05813745793	1662.55292022758	0
ABCC10	266.295629255906	42.2702197875007	452.344367109169	0	172.646144453113	0	159.350449919549
ABCC11	45.7315978594107	83.8244200215413	50.3363784468441	0	55.0229462819364	40.5619799426492	0
ABCC12	31.7813555650873	24.6782705158594	114.371135224528	0	12.4027955675946	86.9454205713438	59.1557906079752
ABCC13	23.8788606177976	19.6476461552461	0	27256.8159296239	0	333.300253388877	319.221437944374
ABCC2	47.9982047344378	6.55753666968412	202.536691980787	7573.43534236576	0	96.9933979502188	102.176717583811
ABCC3	1340.390043281	1218.51701868427	4735.68089017657	0	0	2759.83502226223	0
ABCC4	81.9816216352216	0	0	30229.1025303779	0	1249.45203567759	1688.41279286198
ABCC5	239.003441832098	97.9262249512377	174.306197543767	0	63.0958324273654	0	86.7908806177562
ABCC6	271.640002751183	0	523.071918570829	0	73.2973729545484	230.221393769914	298.602316220855
ABCC8	122.67052279645	85.2653971652682	180.595704083383	1337.218494053	48.9916636716343	16.2873642546	35.5857825228129
ABCC9	35.5674879479238	13.1116497959862	60.3933278609841	0	34.2078921326595	42.7461957531811	41.2658628838175
ABCD1	269.102377025619	0	782.555043518585	0	58.4798660261587	0	442.746218428132
ABCD2	33.2015222536348	12.8183413568364	187.859479168249	0	20.5613862261317	106.651588199094	155.487279629364
ABCD3	613.671792827641	1619.21947764961	3338.18560663932	101782.920469906	0	2237.37077994422	983.641104601695
ABCD4	283.338953233806	48.1697129734333	392.311864411366	0	133.694813383322	21.8770130882126	278.184100190833
ABCE1	138.797483402962	0	0	39025.8522244503	178.365329650564	154.416777662684	1036.06848509058
ABCF1	569.558309179909	138.005040030063	55.6405696765791	0	415.106607142265	672.499747739285	990.285316593595
ABCF2	209.835753367323	54.4657526953551	528.858526564753	17336.6488800066	0	137.775371946466	455.428901588502
ABCF3	242.216034703339	177.867421754385	298.455795666257	6350.37410067393	186.982671550999	1004.93849322911	366.004341482126
ABCG1	214.722646006479	188.696566601176	439.386580655758	0	115.492854200939	197.611153182026	634.191827794472
ABCG2	0	2128.2418576395	4327.4685049741	504050.117140464	0	2714.48957855894	0
ABCG4	81.1995092819432	102.029432086832	168.202962761827	1021.6928042918	68.5488231631314	0	0
ABCG5	37.4539840886707	42.2136611382183	57.593585854421	0	43.8495596446705	70.604586790201	0
ABCG8	74.6383821476985	16.0523420641421	30.5020644653554	0	0	124.148008859516	93.7875607978269
ABHD1	62.2666752969218	71.194112851854	0	0	96.9039263144647	0	2.68881859721046
ABHD10	92.6996739875373	125.332691286648	165.906646647033	19862.0936790913	68.5440240811833	390.012562003619	334.727048816822
ABHD11	601.670544999029	548.670808566088	0	0	926.110010777492	1892.99896385526	401.708074972931
ABHD12	623.401261496948	329.387753567116	1921.39032553825	25261.9255284011	3.93779754685858	72.6065597836994	479.195523279816
ABHD12B	0	95.7435434596585	1016.94737545095	16193.2150743927	0	509.271562454833	568.653774426664
ABHD13	418.559319861707	436.441227112288	0	0	370.523443853747	272.794882707323	928.876932508988
ABHD14A	289.568329991047	396.75750631863	0	0	547.936321401751	68.7442072706199	318.227883461832
ABHD14B	241.616772770293	431.20135091524	721.56504956675	5999.82432203948	138.749898563141	586.837636391189	206.988657092805
ABHD15	300.161175205242	24.3698614856765	933.781453515959	0	0	532.039811107368	432.265907009375
ABHD16A	351.348641835566	211.321785082339	562.937412819252	9137.33248480068	159.774251580745	363.789054364835	352.58435189683
ABHD16B	87.6676375716449	92.5641858161905	0	0	79.1470995056696	90.5056596264055	27.1990781749974
ABHD17A	514.537726269971	268.457932875953	122.101832898671	0	592.304973837336	44.0520549471056	0
ABHD17AP4	705.884809969702	764.166564540385	0	0	559.880826835605	322.876696281003	0
ABHD17B	245.512422126942	97.3919792982533	283.390470222496	8084.30298623571	82.3289246034777	47.0876631200666	0
ABHD17C	961.607738433829	1451.14381774747	1908.93135527325	35990.7309954424	371.015940573487	1477.47589489235	0
ABHD2	592.196911242389	853.736032724615	0	0	920.533458572864	0	531.347620658665
ABHD3	963.42795691711	2552.07111861953	2199.74286885887	105307.660280158	366.657186767053	2483.76969187201	598.091834902536
ABHD4	409.61952432971	822.081385875044	1846.29229916456	0	0	2.37291171317278	254.371291004123
ABHD5	304.533955370495	1110.90722663204	3099.25085563146	49411.6117633609	0	1925.54391640013	0
ABHD6	247.35096249885	376.754056864644	961.511815489915	26163.5965926876	0	1295.33137955549	363.04984497541
ABHD8	147.873055702351	7.1482235627356	232.267391001606	0	96.0157680158115	0	0
ABI1	356.063262420154	855.892325602423	1128.18117284886	29010.1819464643	193.226787303045	485.850295833285	862.015115692128
ABI2	116.626207251509	0	266.465316156654	10001.0040043653	124.793403039997	57.8237384658661	593.498246340678
ABI3	101.500951638212	192.087802968476	343.991839325444	0	74.325496044676	666.035641015933	462.539339192801
ABI3BP	101.805059945484	84.4244260306601	4.69582192391294	0	135.028866520509	74.9392964347302	1388.98146069921
ABL1	497.541464362046	616.144171436895	1521.68881073824	0	368.050040295063	1337.56811744786	249.333505730052
ABL2	200.386103143323	88.2104963528441	0	100.841652922509	173.900484676427	0.858321494929884	363.439102295718
ABLIM1	616.244243870691	1167.17201350725	311.595432803169	0	930.974932663368	0	0
ABLIM2	178.424925428123	89.8268307110149	0	0	109.564912615138	425.089198326655	126.056087076221
ABLIM3	80.4259451364226	159.693008201471	126.307654109148	0	83.858873757656	227.661775169161	205.465840171733
ABO	667.630243702261	596.974078527742	2576.6810763024	0	63.1221743888777	0	0
ABR	958.646964956242	1153.5895434301	4792.48235355643	0	171.045548061598	2004.99014727089	1567.41466447349
ABRA	51.5780792330115	50.4364002232991	82.4168990084665	0	0	0	64.5659242504346
ABRACL	316.06504527426	710.079896674504	1782.14826664701	0	53.2005756788105	758.320619228347	46.7740923252242
ABT1	170.980480097488	0	409.936213359087	7305.16693588919	70.4867179363425	459.582909951291	140.239362370844
ABTB1	167.579752024118	171.245161142727	145.734899805572	0	157.081516504947	25.579101283148	18.8418968504243
ABTB2	237.858129969644	63.8290339962456	0	13692.3693492379	0	0	517.967122717242
ACAA1	96.1551984823048	0.999671173415601	205.845730781765	11869.1801783759	3.65050292558344	0	102.658290485352
ACAA2	707.338622885949	316.076870712169	6717.40245423751	130.620096180365	0	3157.93294272622	412.828932377171
ACACA	168.912180286543	0	0	11547.669863151	109.919101318531	0	247.216488035746
ACACB	207.851599958356	130.117103964099	445.00257224215	10871.0616748743	191.376408841279	614.224856663346	562.372679804316
ACAD10	304.194692377779	0	1248.62235567878	0	0	747.272403563421	79.0721075026858
ACAD8	365.062526401671	230.036843844314	1476.83162957679	0	3.17666335646478	899.821227400158	399.26499331533
ACAD9	340.487910557058	188.286358451781	11.1574388436059	0	139.418167869239	1914.88384363968	142.525671000927
ACADL	15.0500201609921	5.24138422105743	0	0	31.0845673687097	102.398995072296	28.9743675463932
ACADM	343.008398791671	3581.57883378986	3447.25077828539	267658.399614378	0	6158.56691809651	835.215185414065
ACADS	719.979764054288	1518.37875342727	4740.58934067111	36413.7087031845	0	4748.23322950062	0
ACADSB	218.036523865433	244.982507667895	884.729291711721	33772.247166203	260.441965106037	0	757.036207317739
ACADVL	1195.92540691193	1832.95375438025	4222.20366972971	12007.9423276613	24.548288451577	10593.1239491159	677.159028066187
ACAN	73.8415962285795	0	0	1511.99399437963	67.3745061732805	0	59.5872832838626
ACAP2	418.322767928154	872.659855034201	1047.65794225306	26831.5107319638	135.280768426242	630.421121751844	1180.55350793449
ACAP3	197.385683504263	76.3605878018146	29.6838727037027	0	149.391950871486	186.800828923155	28.64331766387
ACAT1	595.389522120806	185.577365510877	1585.10160202854	78118.0645012656	0	2188.45683561545	1009.88763216384
ACAT2	1.6093969538693	878.471711706391	0	28514.6318334666	152.974738433252	1173.73627146467	0
ACBD3	963.841426888145	810.250203066186	0	0	822.437015231802	399.674879271958	2023.50167430495
ACBD4	113.948629782695	34.4158044501635	422.316360644717	2810.42445935981	37.1855544442242	399.764534489198	87.8763121399407
ACBD5	379.735417088287	362.120218465873	1026.9180104698	4256.88756196953	0	734.442182737457	905.751375759698
