GeneSymbol	Plasma cells	Monocytes	Eosinophils	Neutrophils	B cells	T cells	Macrophages
A1BG	138.125962351987	62.9394500865575	NA	0	NA	NA	NA
A1CF	753.311285867452	1165.23768274249	NA	NA	NA	NA	NA
A2M	NA	2245.98383187643	NA	0	NA	NA	6012.86972410169
A2ML1	46.9372448788229	29.0885026854782	NA	0	45.7357556839187	NA	NA
A3GALT2	62.1193404258664	40.6178384000066	114.573459830605	NA	25.8697182973101	NA	NA
A4GALT	134.032523437527	NA	NA	NA	NA	NA	NA
A4GNT	37.3061994083175	NA	NA	NA	54.0386981212199	NA	23.2919572186397
AAAS	360.680749587026	NA	NA	NA	NA	NA	NA
AACS	276.223731579068	NA	NA	NA	NA	NA	NA
AADAC	14.8867975372711	NA	NA	NA	17.130287060272	0	19.5594679916491
AADACL2	NA	NA	63.616777840697	NA	0	NA	NA
AADACL3	42.9422499443492	NA	NA	NA	40.2633783440896	NA	NA
AADACL4	NA	NA	39.2252152987274	NA	NA	NA	42.0790804235629
AADAT	NA	NA	NA	36976.7677189912	NA	NA	NA
AAED1	NA	NA	NA	NA	NA	NA	538.345171237938
AAGAB	229.800427655784	NA	NA	NA	NA	NA	NA
AAK1	425.041618468196	NA	NA	NA	0	0	1443.99513493416
AAMDC	NA	NA	349.820348578655	NA	NA	NA	310.274373987521
AAMP	NA	949.326360963259	NA	NA	NA	NA	NA
AANAT	85.904758613174	NA	NA	NA	58.9156229256024	92.1520791638048	NA
AAR2	308.518556170298	NA	897.946049938547	NA	NA	NA	NA
AARD	NA	NA	NA	NA	NA	NA	NA
AARS	426.23819389417	NA	NA	0	NA	NA	NA
AARS2	NA	NA	NA	NA	NA	443.429481211503	NA
AASDH	58.171329640273	NA	NA	16955.3671626439	NA	400.814971879398	240.942532797017
AASDHPPT	42.4065374775675	NA	180.686853248817	NA	NA	NA	131.502194574084
AASS	NA	NA	NA	NA	94.8279403248889	NA	NA
AATF	497.418781304403	NA	NA	NA	NA	NA	751.098965720564
AATK	167.374700455292	NA	0	NA	126.489086246285	0	NA
AATK.AS1	138.582673462265	75.8334420447602	275.972312813108	0	NA	NA	147.808593518022
ABAT	384.126876428171	NA	NA	NA	NA	NA	NA
ABCA1	NA	NA	1610.35707307587	NA	0	NA	675.916883921032
ABCA10	NA	NA	NA	NA	NA	NA	134.226036911889
ABCA11P	NA	NA	NA	5316.97625057598	NA	NA	NA
ABCA12	30.503595581066	10.3968888915217	0	NA	35.1278919741427	NA	22.1237741305886
ABCA13	27.9834754310231	63.3547772994717	0	NA	NA	119.607656283827	NA
ABCA2	429.165499883232	NA	NA	0	NA	0	860.959560311609
ABCA3	108.966245821739	NA	NA	NA	NA	NA	179.690255448597
ABCA4	36.9473245625396	NA	NA	NA	36.6651789799707	34.4619092154882	38.0524449972793
ABCA5	NA	NA	NA	NA	NA	NA	1069.29493048256
ABCA6	NA	NA	NA	NA	NA	NA	190.76016867203
ABCA7	NA	NA	NA	NA	NA	NA	NA
ABCA8	NA	NA	NA	NA	NA	NA	679.826825702952
ABCA9	NA	NA	NA	NA	NA	NA	NA
ABCB1	NA	NA	0	NA	NA	NA	2028.49985890567
ABCB10	286.249656388563	333.115487209099	NA	0	NA	519.164620911748	628.887146584979
ABCB11	NA	NA	504.412599648621	NA	0	NA	NA
ABCB4	37.5453270638485	24.465984833825	174.48449883961	NA	NA	NA	71.8887310504994
ABCB5	23.2705065201192	NA	30.4514942158481	623.706568375694	11.3108318586424	NA	NA
ABCB6	89.5632669128173	NA	NA	NA	NA	NA	NA
ABCB7	266.274788348033	553.931894291893	NA	NA	NA	738.16600601913	NA
ABCB8	200.736349126255	141.545177229885	NA	NA	163.694151849157	NA	NA
ABCB9	NA	NA	NA	NA	NA	NA	0
ABCC1	NA	NA	NA	0	NA	NA	NA
ABCC10	266.295629255906	NA	NA	NA	NA	NA	159.350449919549
ABCC11	45.7315978594107	83.8244200215413	NA	NA	55.0229462819364	NA	0
ABCC12	31.7813555650873	24.6782705158594	114.371135224528	0	NA	86.9454205713438	59.1557906079752
ABCC13	NA	NA	0	27256.8159296239	0	333.300253388877	319.221437944374
ABCC2	47.9982047344378	NA	NA	7573.43534236576	NA	NA	102.176717583811
ABCC3	NA	NA	NA	NA	NA	NA	NA
ABCC4	NA	NA	0	NA	NA	1249.45203567759	NA
ABCC5	NA	NA	NA	NA	NA	NA	NA
ABCC6	271.640002751183	NA	NA	0	NA	NA	NA
ABCC8	122.67052279645	85.2653971652682	NA	NA	NA	NA	NA
