GeneSymbol	Plasma cells	Monocytes	Eosinophils	Neutrophils	B cells	T cells	Macrophages
A1BG	0.0823363002038202	0.762869639936199	1	1	0.688279190961811	0.826297725467964	0.963233910493837
A1CF	0.253035636581306	0.560395364645256	0.636052058071584	0.794632807283898	0.891560970059024	0.741146442223857	0.997445050838224
A2M	0.996332989682134	0.7168939048329	0.735746653948263	1	0.95834219596073	0.855353873321249	0.602313137924199
A2ML1	0.00593607242545448	0.366871234436701	0.803032313809665	1	0.231036872976162	1	0.8040689483137
A3GALT2	0.0450578723582407	0.593922790822862	0.628358163976595	0.928580932556193	0.761239457845462	1	1
A4GALT	0.0730436460131174	0.753964929640967	0.998474848824002	1	0.670407035293168	0.987035177106675	0.986322814262746
A4GNT	0.0417261526145137	0.583694297417622	1	0.589995646526434	0.309929595925717	1	0.773872851023601
AAAS	0.0794900416392489	0.843440668445275	0.616273986243713	0.76130770795727	0.534603075282777	0.811076255630878	0.919047422724487
AACS	0.29502728627514	0.89561087323252	0.932197219225661	0.587264029898614	1	1	0.696097451736087
AADAC	0.0580889835494178	0.574763224965524	1	0.556458815619969	0.457420538919423	1	0.595502913091928
AADACL2	0.0808276346048704	0.78480957834654	0.518825874490175	0.916818738206252	1	0.619007973531364	0.701238992287771
AADACL3	0.127602235524662	0.966849274234398	1	1	0.65115829877512	0.751565516545649	0.958052358860136
AADACL4	0.082349671259888	0.988044720786696	0.760018847642595	0.980228219437388	0.687277001249517	0.634200233851302	0.585114623927846
AADAT	0.760831600855265	1	1	0.239009379137021	0.876062272062801	0.523628361130787	0.420638492863267
AAED1	0.595205408018163	0.696209347790211	0.809050173968514	0.942864238660018	1	1	0.497785153356455
AAGAB	0.118668303203088	0.951485043192929	1	0.882643814205035	0.981899648820937	0.806771145064339	0.53549074139891
AAK1	0.0952447308806837	0.439995336049461	0.622021012017824	0.763907943113581	1	1	0.285753096956886
AAMDC	0.302390274584715	0.777116435867582	0.559767012999824	0.960323333014954	1	0.433977261959923	0.394891705540268
AAMP	0.322852848288428	0.262548763930213	1	0.643921514138055	0.524761395663423	0.450683162495531	0.922239863893659
AANAT	0.0724832534383241	1	1	0.955339439802343	0.675355780770155	0.743535201996434	0.932191301551146
AAR2	0.0294433796256781	0.619785021081943	0.395117332096623	1	0.635398339282161	0.399655591496712	0.544116917008958
AARD	0.190824929342163	0.999450735627563	0.742898464121361	0.987668890488096	0.71328653813217	0.714223483478089	1
AARS	0.0685440814168887	0.690348947543421	0.624163406471109	1	0.783175589184462	0.302254429771544	0.601667843684
AARS2	0.242493832951852	0.623249724631654	0.823396569944535	0.67115764682194	0.765781877714147	0.294553392148031	0.493701533390759
AASDH	0.485805912950426	1	0.574281811216055	0.530127236983296	1	0.515304129862311	0.624647589504622
AASDHPPT	0.169339734350442	0.703926726595211	0.520675454648773	0.655866741894066	0.727184304670219	0.479031955653756	0.435847038637986
AASS	0.272813882740825	0.721325555939449	1	0.620191102177455	0.6331282360958	1	0.617444251631925
AATF	0.00725253563666121	0.994490249488185	0.311045805158122	0.725262086835074	0.539261105404728	0.439926899502317	0.273209501044532
AATK	0.0858169001263056	0.937662969221722	1	1	0.665928875845753	1	1
AATK.AS1	0.00849305127085413	0.462669250008939	0.397246530656311	1	0.804832279814813	1	0.439654927697402
ABAT	0.208809333898391	1	0.511215628733993	0.943281927138978	1	1	0.965387957463003
ABCA1	0.441479627509781	0.605216001354074	0.484025029745783	1	1	0.839061523149121	0.613779283797565
ABCA10	0.267961768237322	1	0.773595139653983	1	1	0.995856867566035	0.648220735613482
ABCA11P	0.653796469941637	0.772312135232101	0.886671872798578	0.637214279463711	0.75296269448379	0.361412768326306	0.782508125928353
ABCA12	0.0626888077454561	0.801901283763156	1	0.683376786011572	0.468686384794477	0.673645858649445	0.772611962206724
ABCA13	0.225497883358431	0.375575006488454	1	0.88485284281611	0.581687202872846	0.455552744479719	0.774079665995516
ABCA2	0.116413268547638	1	1	1	1	1	0.540936483865373
ABCA3	0.0150432903465393	0.915969378410845	0.943517856189702	0.924705332794848	0.556967773942379	0.738582580635578	0.324676622260302
ABCA4	0.00388499914230607	0.431662714249669	1	1	0.181544267029697	0.492431442542876	0.361561907682634
ABCA5	0.261829750083314	1	0.882003204534336	0.978693164661894	1	0.933256388627517	0.497007613107815
ABCA6	0.413930372983616	1	0.995368689305724	0.932689205700213	1	1	0.601333276100298
ABCA7	0.0828494476392202	0.458977319115558	0.994415202763886	0.983351120664349	0.502446821762473	0.964545316632054	1
ABCA8	0.826260849485139	0.853512353706177	0.855643418143992	0.991867513489456	1	0.974044712499371	0.545231193035242
ABCA9	0.35082217967985	0.925143858279851	0.681595667118652	1	0.96340243309853	0.89133808235623	0.474273099281168
ABCB1	0.183784281066118	1	1	0.777612862970972	1	0.765626842065071	0.558283554229271
ABCB10	0.020478804454761	0.254195264726725	0.836550683621002	1	0.581513057032647	0.414325956671186	0.245059356371456
ABCB11	0.52118577009787	0.594724325399004	0.460424465450373	0.932645720851734	1	0.775443762285688	1
ABCB4	0.279602627040291	0.81473940546276	0.597714742993804	0.972634159784097	0.678590021031	0.910648589933156	0.710602945043741
ABCB5	0.0572616979982882	0.772060853463779	0.750124641486711	0.83832020907454	0.744769454333238	1	0.803062230459522
ABCB6	0.141995530107283	0.587599071204185	0.708073412095135	0.887197280696797	0.832111279219414	0.558084768880031	1
ABCB7	0.10501623940872	0.252741672499286	0.457852394811508	0.900077559816501	0.508829175654825	0.478504906002698	0.802468531337225
ABCB8	0.035718699435165	0.536744740041731	0.979656655979948	1	0.528637293847634	0.964792013848643	1
ABCB9	0.353487281676147	0.824925322065239	0.691397878285548	0.778989724874669	1	0.99343482305222	1
ABCC1	0.472459197480013	0.791824939024256	0.731541516339439	1	0.874526522962815	0.361327213160653	1
ABCC10	0.00540387392822381	0.802488900223745	0.410905641522606	1	0.389744148036751	1	0.614035747642388
ABCC11	0.0542755717006915	0.203360504027627	0.784396627772664	1	0.428357988172779	0.763145839582715	1
ABCC12	0.0517385077083947	0.548455733223819	0.38564586878495	1	0.785891909520553	0.368702755216513	0.442956008975088
ABCC13	0.744867935742469	0.933969788483202	1	0.288707810733349	1	0.547329039628209	0.480767837048156
ABCC2	0.0463378777397553	0.910483488530289	0.301302080813976	0.239321716060375	1	0.48048458068967	0.369186646941921
ABCC3	0.164086506915943	0.659346727629909	0.585392506742618	1	1	0.661201238815468	1
ABCC4	0.804811083381441	1	1	0.779894907681526	1	0.616149942339596	0.416298355564306
ABCC5	0.307422998948579	0.890126209668307	0.937083855706133	1	0.93730398640848	1	0.947034596657621
ABCC6	0.0388343425193	1	0.596195378593444	1	0.835375961829903	0.746634300387985	0.608740575635598
ABCC8	0.0788100921620588	0.642525657380258	0.750605924509807	0.941169964655932	0.811809751857185	0.968494717033966	0.915183720466306
ABCC9	0.0136120038206208	0.658460952395328	0.5201408440719	1	0.333839108061908	0.532651854883969	0.461746989986387
ABCD1	0.0678819679966359	1	0.515712393411332	1	0.890612450742916	1	0.533306600931671
ABCD2	0.509392398221443	0.935713035251017	0.707203789999896	1	0.909092430973734	0.769580236417595	0.602606689662832
ABCD3	0.254088189940847	0.341306000633494	0.514978946479414	0.535165068024696	1	0.548603242887102	0.740318625679621
ABCD4	0.00538886130080368	0.788755801311038	0.495902116196287	1	0.521394612494121	0.957205886194198	0.420582444885924
ABCE1	0.445829341393974	1	1	0.506247670361202	0.782993866236866	0.905250781735221	0.352829078710035
ABCF1	0.0205830128808296	0.795824908327829	0.973186074893875	1	0.503400638180478	0.586018657018544	0.342642154399106
ABCF2	0.168703446815877	0.900000371723842	0.69823315610063	0.692295336701001	1	0.889076666073498	0.576884878794165
