GeneSymbol	Plasma cells	Monocytes	Eosinophils	Neutrophils	B cells	T cells	Macrophages
A1BG	0.190472669861085	1	1	1	1	1	1
A1CF	0.336784380274779	1	1	1	1	1	1
A2M	1	1	1	1	1	1	1
A2ML1	0.1731913447872	1	1	1	1	1	1
A3GALT2	0.1731913447872	1	1	1	1	1	1
A4GALT	0.185008347653561	1	1	1	1	1	1
A4GNT	0.1731913447872	1	1	1	1	1	1
AAAS	0.188382088375466	1	1	1	1	1	1
AACS	0.375553682879705	1	1	1	1	1	1
AADAC	0.17565947946975	1	1	1	1	1	1
AADACL2	0.189331029905317	1	1	1	1	1	1
AADACL3	0.224900469032139	1	1	1	1	1	1
AADACL4	0.190482401978407	1	1	1	1	1	1
AADAT	0.795152778849992	1	1	1	1	1	1
AAED1	0.646915335043803	1	1	1	1	1	1
AAGAB	0.217525848676404	1	1	1	1	1	1
AAK1	0.199697237592134	1	1	1	1	1	1
AAMDC	0.382119395453586	1	1	1	1	1	1
AAMP	0.401126463833808	1	1	1	1	1	1
AANAT	0.184734754547231	1	1	1	1	1	1
AAR2	0.1731913447872	1	1	1	1	1	1
AARD	0.280514451477628	1	1	1	1	1	1
AARS	0.182930289028622	1	1	1	1	1	1
AARS2	0.32750789619336	1	1	1	1	1	1
AASDH	0.548446520374695	1	1	1	1	1	1
AASDHPPT	0.261602783091784	1	1	1	1	1	1
AASS	0.355063277029284	1	1	1	1	1	1
AATF	0.1731913447872	1	1	1	1	1	1
AATK	0.192388075064702	1	1	1	1	1	1
AATK.AS1	0.1731913447872	1	1	1	1	1	1
ABAT	0.296588405458578	1	1	1	1	1	1
ABCA1	0.509031645313667	1	1	1	1	1	1
ABCA10	0.350215046952687	1	1	1	1	1	1
ABCA11P	0.699634266525699	1	1	1	1	1	1
ABCA12	0.179200430733407	1	1	1	1	1	1
ABCA13	0.311576901081038	1	1	1	1	1	1
ABCA2	0.215764934396803	1	1	1	1	1	1
ABCA3	0.1731913447872	1	1	1	1	1	1
ABCA4	0.1731913447872	1	1	1	1	1	1
ABCA5	0.344674723817667	1	1	1	1	1	1
ABCA6	0.484359634658557	1	1	1	1	1	1
ABCA7	0.190623189917902	1	1	1	1	1	1
ABCA8	0.853430605758925	1	1	1	1	1	1
ABCA9	0.426620710727239	1	1	1	1	1	1
ABCB1	0.274106369668395	1	1	1	1	1	1
ABCB10	0.1731913447872	1	1	1	1	1	1
ABCB11	0.580265441084889	1	1	1	1	1	1
ABCB4	0.361236054790912	1	1	1	1	1	1
ABCB5	0.175527964733483	1	1	1	1	1	1
ABCB6	0.236865861738508	1	1	1	1	1	1
ABCB7	0.206856490218456	1	1	1	1	1	1
ABCB8	0.1731913447872	1	1	1	1	1	1
ABCB9	0.429085550593923	1	1	1	1	1	1
ABCC1	0.536811120541445	1	1	1	1	1	1
ABCC10	0.1731913447872	1	1	1	1	1	1
ABCC11	0.175041244392255	1	1	1	1	1	1
ABCC12	0.174230206446439	1	1	1	1	1	1
ABCC13	0.781201321979468	1	1	1	1	1	1
ABCC2	0.17347716764219	1	1	1	1	1	1
ABCC3	0.257092953579922	1	1	1	1	1	1
ABCC4	0.833973498149175	1	1	1	1	1	1
ABCC5	0.386884872380914	1	1	1	1	1	1
ABCC6	0.1731913447872	1	1	1	1	1	1
ABCC8	0.187891450288574	1	1	1	1	1	1
ABCC9	0.1731913447872	1	1	1	1	1	1
ABCD1	0.182604991067521	1	1	1	1	1	1
ABCD2	0.569857378580549	1	1	1	1	1	1
ABCD3	0.33789988833455	1	1	1	1	1	1
ABCD4	0.1731913447872	1	1	1	1	1	1
ABCE1	0.513107721093741	1	1	1	1	1	1
ABCF1	0.1731913447872	1	1	1	1	1	1
ABCF2	0.261156431651013	1	1	1	1	1	1
ABCF3	0.1731913447872	1	1	1	1	1	1
