Mixture	Plasma cells	Monocytes	Eosinophils	Neutrophils	B cells	T cells	Macrophages	P-value	Correlation	RMSE
GSM1945826	0	0	0	0	0.754956028325853	0.0966984051951852	0.148345566478962	9999	0.364810446560195	1.02700033073911
GSM1945827	0.0813557416990394	0	0	0	0.757818244886612	0.0854098281731574	0.0754161852411914	9999	0.132741640109436	1.19612738480764
GSM1945828	0.64131356334949	0.113213822827922	0	0	0	0.171517323268722	0.0739552905538664	9999	-0.00481999341949862	1.13703618925022
GSM1945829	0.384253728318589	0.0289757096157898	0	0	0.362035192642198	0.120057025549833	0.10467834387359	9999	-0.00832475383480812	1.1720846860485
GSM1945830	0.339544301735262	0	0	0	0.419496014703303	0.1292187387003	0.111740944861134	9999	0.00607736656944139	1.18342356266873
GSM1945831	0.503289348024172	0.135659643985279	0	0	0.14522998382972	0.159052067256147	0.0567689569046815	9999	-0.0117530797604211	1.13883466676084
GSM1945832	0.491245749389028	0.0628204587538063	0	0	0.279816454352307	0.132727662216861	0.033389675287997	9999	0.0293755217431441	1.14746230283153
GSM1945833	0.16297109077884	0	0	0	0.638375398297802	0.0970964658816674	0.10155704504169	9999	0.192014471001815	1.12054904397437
GSM1945834	0.332985320161433	0.0041245242800116	0	0	0.493080168000624	0.11609785956985	0.0537121279880814	9999	0.0722466790495331	1.16760672811402
GSM1945835	0.331608253642256	0	0	0	0.470111001071884	0.0993759016082126	0.0989048436776467	9999	0.0184381374874916	1.1837835320827
GSM1945836	0.593825477631315	0.248132170531522	0	0	0	0.152717793777506	0.00532455805965735	9999	-0.0095052781108195	1.1211526417508
