GeneSymbol	Plasma cells	Monocytes	Eosinophils	Neutrophils	B cells	T cells	Macrophages
A1BG	153.817597986271	154.677418465059	0	0	133.845947074842	0	0
A1CF	1746.65409757684	1230.39142580932	0	0	1272.13146410495	0	1008.16111598976
A2M	375.827716263462	2489.21637685207	0	15147.3887939114	961.208514904353	0	0
A2ML1	57.4193509071794	25.9230907339607	17.1883179285704	0	38.7336006092075	0	0
A3GALT2	73.3994900715386	17.8955109384903	0	0	48.8943588908383	0	0
A4GALT	144.827386327285	220.798937949732	0	0	160.711019703553	0	0
A4GNT	13.3550392023288	0	0	0	21.6522106459046	169.146069500895	14.9114419455336
AAAS	243.073867410211	629.678123399856	2115.19034263037	0	426.293240825503	256.966787830172	654.017182631334
AACS	316.680276054319	90.4335168177446	0	0	185.881360959841	97.8431886919541	354.890558837369
AADAC	919.566138071861	3623.17051228073	0	0	488.136331471924	2895.97432590156	3322.56379910801
AADACL2	22.010028595517	40.892305472082	420.18600150649	0	21.3397742824546	0	0
AADACL3	41.8222718643795	49.1936390836788	0	0	46.0385135731465	0	0
AADACL4	19.1309406827788	0	0	0	23.8907758946844	113.066980690362	16.4314447467364
AADAT	24.2477029465465	98.9009142330591	2044.35050271569	0	62.3719416941902	59.8109766575995	90.8843469110342
AAED1	19.7005109106786	690.559640312527	0	0	0	55.2882783859258	1570.59360053666
AAGAB	105.457222622418	0	0	0	0	462.483500723917	564.130481167159
AAK1	151.782557864294	778.967971420769	0	0	260.631899053088	619.116880998691	552.881084632023
AAMDC	89.6787999835832	0	0	0	81.3912472418207	177.318391903552	167.530866554063
AAMP	247.240254633133	0	0	0	176.290914797937	1205.23498085585	745.401255139019
AANAT	127.662846532613	0.80460956320677	0	0	76.5344179359407	0	0
AAR2	354.641020778173	493.635314291611	1372.87395917393	0	299.895216239908	0	642.590936052384
AARD	85.8506309058423	0	0	0	75.2312476785406	72.638731492884	0
AARS	461.538456345138	0	0	184941.164464348	284.958946978348	0	942.35653309251
AARS2	241.409140448879	0	0	0	168.023878476195	0	0
AASDH	0	84.785930287533	0	0	50.2949964659877	230.59986965784	211.124709305553
AASDHPPT	11.6037317285699	59.5042567093615	0	0	36.1462251942975	141.422570265926	119.961965139159
AASS	7.33959934984181	38.0799641493854	0	0	78.13815893653	442.205237055749	0
AATF	509.508683976445	477.249999047588	0	0	540.072175089446	0	735.666984272792
AATK	366.892336360451	90.4480428155022	0	0	184.774929950011	0	0
AATK.AS1	167.573058706885	205.199086932751	0	0	145.182653328132	0	0
ABAT	613.094141321465	0	0	0	381.27071071706	0	348.840084351335
ABCA1	0	187.252002565857	2196.76868852039	0	146.558516178684	72.7692712754626	183.990295505997
ABCA10	40.8465815623838	143.406266712403	0	0	48.8842116265071	0	0
ABCA11P	10.1370274098399	12.9647564767706	0	0	28.5776861590674	116.278199069075	52.8721350118245
ABCA12	34.7736993314136	37.349393155476	0	0	31.7670336594819	0	13.7671451768429
ABCA13	34.87308374899	28.8596567580185	0	0	44.8530629617016	122.847130702237	0
ABCA2	490.900095461443	0	0	0	287.42897419025	0	0
ABCA3	76.3343202539219	116.3876988187	0	0	104.935281215769	183.842075710671	112.568163822503
ABCA4	64.0280930575822	0	0	572.648260022781	38.1199573984439	0	9.85557664586959
ABCA5	521.942571981283	0	0	0	377.528027283949	0	0
ABCA6	18.715494189819	150.581055385883	0	0	63.1222564100368	77.5577670936607	11.1529568556222
ABCA7	84.301462420235	331.758555106084	0	0	176.206846914848	0	0
ABCA8	54.5130317135166	155.525238716638	0	29.1614841021504	62.1696648765519	0	0
ABCA9	40.6754163864028	95.1083580098953	0	0	44.8639599929469	0	14.2193609782597
ABCB1	2244.59672165735	3643.12572578317	0	0	1421.16678867012	0	6135.85282526459
ABCB10	469.371504808103	74.8571538820992	0	1691.90822820743	274.925056074736	0	519.909411515351
ABCB11	21.7061782056075	0	0	0	21.6465975935153	68.2032514442479	25.9475108527444
ABCB4	0	147.636672758856	0	0	45.0733252951836	0	368.212635623068
ABCB5	25.0482288612427	30.4607494576575	0	0	21.4568776030007	0	38.2266866533152
ABCB6	124.917306712562	4.70593006013101	0	5172.31669623255	77.1328497155634	0	188.758604412428
ABCB7	316.804591257319	268.41525082365	0	390.397765568018	183.372245413183	0	1297.71175707375
ABCB8	279.820457391048	134.321211857507	0	0	183.211421229738	0	0
ABCB9	114.139060873855	0	0	6857.32572194567	58.8182154844059	0	171.438972438124
ABCC1	0	650.253556632209	0	0	363.148359360185	168.720139525643	288.453875569143
ABCC10	303.881593071896	388.26004230647	0	0	269.671132192426	0	0
ABCC11	77.8581742805815	0	0	0	36.1411268066083	42.527883783924	117.02261333144
ABCC12	29.5226026519776	51.2168640699893	0	0	34.8183777763693	28.1878609907884	55.9157381713559
ABCC13	124.802993774219	0	0	0	16.9787418960899	0	355.563741409648
ABCC2	502.17261281923	3339.69355907692	0	0	895.448679255762	220.123911996719	3906.92372165589
ABCC3	818.125651882793	1761.62812169472	0	30232.7841014	728.891624849509	0	0
