GeneSymbol	Plasma cells	Monocytes	Eosinophils	Neutrophils	B cells	T cells	Macrophages
A1BG	153.817597986271	NA	0	NA	133.845947074842	0	0
A1CF	1746.65409757684	NA	NA	NA	1272.13146410495	0	NA
A2M	NA	NA	NA	NA	961.208514904353	0	NA
A2ML1	57.4193509071794	NA	NA	NA	38.7336006092075	0	NA
A3GALT2	73.3994900715386	NA	NA	NA	48.8943588908383	0	NA
A4GALT	144.827386327285	NA	0	0	160.711019703553	0	0
A4GNT	NA	0	NA	NA	21.6522106459046	169.146069500895	NA
AAAS	NA	629.678123399856	NA	0	426.293240825503	NA	NA
AACS	316.680276054319	NA	0	0	NA	NA	354.890558837369
AADAC	NA	NA	0	0	NA	NA	NA
AADACL2	22.010028595517	40.892305472082	NA	NA	21.3397742824546	NA	NA
AADACL3	41.8222718643795	49.1936390836788	NA	NA	46.0385135731465	NA	0
AADACL4	NA	NA	0	0	NA	NA	NA
AADAT	NA	98.9009142330591	NA	NA	62.3719416941902	NA	NA
AAED1	NA	NA	NA	NA	NA	NA	1570.59360053666
AAGAB	NA	NA	0	NA	NA	NA	NA
AAK1	NA	778.967971420769	NA	0	260.631899053088	NA	552.881084632023
AAMDC	NA	NA	0	0	NA	NA	NA
AAMP	NA	NA	0	NA	NA	NA	745.401255139019
AANAT	127.662846532613	NA	NA	NA	76.5344179359407	0	NA
AAR2	354.641020778173	493.635314291611	NA	0	299.895216239908	NA	NA
AARD	85.8506309058423	NA	0	0	75.2312476785406	NA	0
AARS	461.538456345138	NA	NA	NA	NA	NA	NA
AARS2	241.409140448879	NA	NA	NA	168.023878476195	NA	NA
AASDH	NA	NA	NA	0	NA	NA	NA
AASDHPPT	NA	59.5042567093615	NA	0	36.1462251942975	NA	119.961965139159
AASS	NA	NA	NA	NA	NA	NA	NA
AATF	509.508683976445	477.249999047588	NA	NA	540.072175089446	0	NA
AATK	366.892336360451	NA	NA	NA	184.774929950011	NA	NA
AATK.AS1	167.573058706885	205.199086932751	0	NA	145.182653328132	0	0
ABAT	613.094141321465	NA	0	0	381.27071071706	0	NA
ABCA1	NA	NA	NA	NA	146.558516178684	NA	NA
ABCA10	NA	143.406266712403	NA	0	NA	NA	NA
ABCA11P	NA	NA	0	0	28.5776861590674	NA	NA
ABCA12	34.7736993314136	37.349393155476	0	0	31.7670336594819	0	13.7671451768429
ABCA13	NA	28.8596567580185	0	0	44.8530629617016	NA	NA
ABCA2	490.900095461443	NA	0	0	287.42897419025	0	NA
ABCA3	76.3343202539219	116.3876988187	0	0	104.935281215769	NA	NA
ABCA4	64.0280930575822	NA	NA	NA	38.1199573984439	0	NA
ABCA5	NA	NA	NA	0	377.528027283949	NA	NA
ABCA6	NA	150.581055385883	NA	0	NA	NA	NA
ABCA7	NA	331.758555106084	NA	NA	176.206846914848	NA	NA
ABCA8	NA	NA	NA	NA	62.1696648765519	NA	NA
ABCA9	NA	NA	0	0	44.8639599929469	NA	NA
ABCB1	NA	NA	NA	NA	NA	NA	NA
ABCB10	469.371504808103	NA	NA	NA	274.925056074736	NA	NA
ABCB11	NA	0	NA	0	21.6465975935153	NA	25.9475108527444
ABCB4	0	147.636672758856	0	0	45.0733252951836	NA	368.212635623068
ABCB5	25.0482288612427	30.4607494576575	0	0	21.4568776030007	0	38.2266866533152
ABCB6	NA	NA	0	NA	NA	NA	NA
ABCB7	NA	NA	0	NA	NA	NA	NA
ABCB8	279.820457391048	NA	NA	0	183.211421229738	NA	NA
ABCB9	114.139060873855	NA	0	6857.32572194567	58.8182154844059	0	171.438972438124
ABCC1	NA	NA	NA	NA	363.148359360185	NA	NA
ABCC10	303.881593071896	388.26004230647	NA	NA	269.671132192426	NA	NA
ABCC11	77.8581742805815	0	0	0	36.1411268066083	NA	117.02261333144
ABCC12	29.5226026519776	51.2168640699893	NA	0	34.8183777763693	28.1878609907884	55.9157381713559
ABCC13	NA	NA	0	NA	NA	NA	355.563741409648
ABCC2	NA	NA	0	0	NA	NA	3906.92372165589
ABCC3	818.125651882793	1761.62812169472	NA	NA	728.891624849509	0	0
ABCC4	NA	NA	NA	NA	NA	445.872632550821	NA
