GeneSymbol	Plasma cells	Monocytes	Eosinophils	Neutrophils	B cells	T cells	Macrophages
A1BG	0.396566944321881	0.553180699491232	1	1	0.109458579888436	1	1
A1CF	0.546693623788428	0.769224432370397	1	1	0.299601108691082	1	0.883203457087843
A2M	0.834493278774244	0.373522763485725	1	0.999999998266681	0.229292041451061	1	1
A2ML1	0.389794069693619	0.782760824184629	0.999999999944358	1	0.181399336877261	1	1
A3GALT2	0.324352135046123	0.861829867484701	1	1	0.136498543290693	1	1
A4GALT	0.579771355853726	0.567743834913066	1	1	0.172242844619567	1	1
A4GNT	0.806890886721048	1	1	1	0.351974155533085	0.556418293003193	0.910102811420229
AAAS	0.70803764724011	0.518944302102433	0.999999999324744	1	0.154308755599599	0.93826801984634	0.678449054517382
AACS	0.330763902543597	0.840961163772748	1	1	0.181855523256744	0.950373685075721	0.636202387574592
AADAC	0.922671773456489	0.796252603846121	1	1	0.898122698613097	0.95273559212372	0.885098311007764
AADACL2	0.627759886889572	0.545166268558871	0.999999998069184	1	0.274943252861809	1	1
AADACL3	0.466021651383908	0.556012818153639	1	1	0.0923907727542791	1	1
AADACL4	0.663997401323098	1	1	1	0.219726078379619	0.620165427449674	0.876334145217052
AADAT	0.819476100423554	0.537470965184912	0.999999996037285	1	0.194198664430567	0.912879259606239	0.725594084645285
AAED1	0.979699870648839	0.555135864685295	1	1	1	0.988957161592647	0.423786595977972
AAGAB	0.855656598820091	1	1	1	1	0.877049100743585	0.690788646215258
AAK1	0.801722636008519	0.403479177228938	1	1	0.315919648419154	0.842383382246606	0.707541515317764
AAMDC	0.614303303528761	1	1	1	0.285711727634651	0.844583303642086	0.695837973169746
AAMP	0.59158461874622	1	1	1	0.360281932813126	0.611471825924103	0.509163268681684
AANAT	0.333773866270854	0.99648147132835	1	1	0.177029079618482	1	1
AAR2	0.446048289186595	0.470330696413082	0.999999999369563	1	0.150585003669735	1	0.562406985609403
AARD	0.350600045955622	1	1	1	0.0829339037590211	0.870950687411284	1
AARS	0.88949228460459	1	1	0.999999988559499	0.831420544109209	1	0.906836929655095
AARS2	0.394794749002008	1	1	1	0.1746936606934	1	1
AASDH	1	0.761459945720178	1	1	0.518501072939102	0.812905034590165	0.648256638950329
AASDHPPT	0.862392222188322	0.555676554747013	1	1	0.225698575825527	0.685021102513845	0.474917174933118
AASS	0.979169258125762	0.926881290081666	1	1	0.503003127599133	0.761909905701047	1
AATF	0.481738242410183	0.648585770842244	1	1	0.110751898383987	1	0.668569356613645
AATK	0.649989047094933	0.938717282260967	1	1	0.572958941286427	1	1
AATK.AS1	0.488758693808518	0.561672668093972	1	1	0.176305497001299	1	1
ABAT	0.547567328142582	1	1	1	0.36778297442008	1	0.885109772086372
ABCA1	1	0.747433458869285	0.999999998847961	1	0.377978197283025	0.971250774325435	0.846653931801981
ABCA10	0.847304231994151	0.650623435282256	1	1	0.574196152110037	1	1
ABCA11P	0.879226478681178	0.89516588144628	1	1	0.319884662122671	0.737086276937991	0.745226256716582
ABCA12	0.123192881146843	0.229073039770599	1	1	0.0114691011376476	1	0.766343714096055
ABCA13	0.34192622727319	0.578216542710099	1	1	0.0261736558903289	0.502771967067184	1
ABCA2	0.400242197052379	1	1	1	0.24287775149742	1	1
ABCA3	0.561195325341995	0.548792788153085	1	1	0.0965902055526693	0.782384501707031	0.71994398905489
ABCA4	0.36212445150026	1	1	0.999999998226851	0.2028515147349	1	0.951115263194728
ABCA5	0.709280085601658	1	1	1	0.511301705109448	1	1
ABCA6	0.92747586718935	0.625205127426358	1	1	0.462168415170741	0.941710958354822	0.982145891026089
ABCA7	0.86158211850774	0.646031033633154	1	1	0.388801623719711	1	1
ABCA8	0.810689882878474	0.646733020757448	1	0.9999999999736	0.50840006575778	1	1
ABCA9	0.589800232655239	0.406154141454701	1	1	0.18381846164339	1	0.936819509642493
ABCB1	0.562466269215267	0.525966775698515	1	1	0.377029387934221	1	0.516372677509775
ABCB10	0.342768110987234	0.91306626312496	1	0.999999999252328	0.192458211617662	1	0.649044833740628
ABCB11	0.534504299174356	1	1	1	0.167691703292345	0.700529742466759	0.754734378026322
ABCB4	1	0.636329687102158	1	1	0.597880752034425	1	0.481496914073122
ABCB5	0.248740202262793	0.328603992309621	1	1	0.0453751541200823	1	0.443841420949653
ABCB6	0.660081964984319	0.990919150010426	1	0.99999999621262	0.506993612272408	1	0.78233551171266
ABCB7	0.585689454231472	0.750986240219821	1	0.999999999859281	0.442296653801058	1	0.373919633315395
ABCB8	0.489184897567536	0.816697637078672	1	1	0.28333099750733	1	1
