GeneSymbol	Plasma cells	Monocytes	Eosinophils	Neutrophils	B cells	T cells	Macrophages
A1BG	1	1	1	1	0.448573117931223	1	1
A1CF	1	1	1	1	0.500937993063074	1	1
A2M	1	1	1	1	0.467273122002605	1	1
A2ML1	1	1	1	1	0.452291266108426	1	1
A3GALT2	1	1	1	1	0.448573117931223	1	1
A4GALT	1	1	1	1	0.451164753826505	1	1
A4GNT	1	1	1	1	0.52873926842311	1	1
AAAS	1	1	1	1	0.449407497381464	1	1
AACS	1	1	1	1	0.452291266108426	1	1
AADAC	1	1	1	1	0.917530715200116	1	1
AADACL2	1	1	1	1	0.488150050596823	1	1
AADACL3	1	1	1	1	0.448573117931223	1	1
AADACL4	1	1	1	1	0.463804120414869	1	1
AADAT	1	1	1	1	0.453261139841049	1	1
AAED1	1	1	1	1	1	1	1
AAGAB	1	1	1	1	1	1	1
AAK1	1	1	1	1	0.510071821870816	1	1
AAMDC	1	1	1	1	0.49376916600679	1	1
AAMP	1	1	1	1	0.533077169827975	1	1
AANAT	1	1	1	1	0.452291266108426	1	1
AAR2	1	1	1	1	0.448573117931223	1	1
AARD	1	1	1	1	0.448573117931223	1	1
AARS	1	1	1	1	0.861125280726275	1	1
AARS2	1	1	1	1	0.451883059118351	1	1
AASDH	1	1	1	1	0.628155078150972	1	1
AASDHPPT	1	1	1	1	0.466414248524931	1	1
AASS	1	1	1	1	0.618719331589244	1	1
AATF	1	1	1	1	0.448573117931223	1	1
AATK	1	1	1	1	0.66535787737656	1	1
AATK.AS1	1	1	1	1	0.452291266108426	1	1
ABAT	1	1	1	1	0.53667642842848	1	1
ABCA1	1	1	1	1	0.541841472265035	1	1
ABCA10	1	1	1	1	0.666027535233415	1	1
ABCA11P	1	1	1	1	0.512093662844004	1	1
ABCA12	1	1	1	1	0.448573117931223	1	1
ABCA13	1	1	1	1	0.448573117931223	1	1
ABCA2	1	1	1	1	0.472279247272838	1	1
ABCA3	1	1	1	1	0.448573117931223	1	1
ABCA4	1	1	1	1	0.456622111021161	1	1
ABCA5	1	1	1	1	0.62372599398021	1	1
ABCA6	1	1	1	1	0.591831071469369	1	1
ABCA7	1	1	1	1	0.547729273622038	1	1
ABCA8	1	1	1	1	0.621585153019145	1	1
ABCA9	1	1	1	1	0.452291266108426	1	1
ABCB1	1	1	1	1	0.541504246784618	1	1
ABCB10	1	1	1	1	0.453261139841049	1	1
ABCB11	1	1	1	1	0.450278750870952	1	1
ABCB4	1	1	1	1	0.682576864446061	1	1
ABCB5	1	1	1	1	0.448573117931223	1	1
ABCB6	1	1	1	1	0.620872643549088	1	1
ABCB7	1	1	1	1	0.579135287086588	1	1
ABCB8	1	1	1	1	0.49219547846115	1	1
ABCB9	1	1	1	1	0.485015852815758	1	1
ABCC1	1	1	1	1	0.615765457430631	1	1
ABCC10	1	1	1	1	0.448573117931223	1	1
ABCC11	1	1	1	1	0.518035008297256	1	1
ABCC12	1	1	1	1	0.448573117931223	1	1
ABCC13	1	1	1	1	0.876649622754526	1	1
ABCC2	1	1	1	1	0.631803006262766	1	1
ABCC3	1	1	1	1	0.521379520386476	1	1
ABCC4	1	1	1	1	0.611273789479379	1	1
ABCC5	1	1	1	1	0.541125840311185	1	1
ABCC6	1	1	1	1	0.453261139841049	1	1
ABCC8	1	1	1	1	0.564102969343503	1	1
ABCC9	1	1	1	1	0.470238971556961	1	1
ABCD1	1	1	1	1	0.456622111021161	1	1
ABCD2	1	1	1	1	0.782265275392651	1	1
ABCD3	1	1	1	1	0.714904544730014	1	1
ABCD4	1	1	1	1	0.448573117931223	1	1
ABCE1	1	1	1	1	0.860820448882363	1	1
ABCF1	1	1	1	1	0.456622111021161	1	1
ABCF2	1	1	1	1	0.635711180741698	1	1
ABCF3	1	1	1	1	0.547964898301653	1	1
ABCG1	1	1	1	1	0.572091478752822	1	1
ABCG2	1	1	1	1	0.688124591394716	1	1
ABCG4	1	1	1	1	0.448573117931223	1	1
ABCG5	1	1	1	1	1	1	1
ABCG8	1	1	1	1	0.618719331589244	1	1
ABHD1	1	1	1	1	0.448573117931223	1	1
ABHD10	1	1	1	1	0.898452452201072	1	1
ABHD11	1	1	1	1	0.452291266108426	1	1
ABHD12	1	1	1	1	0.616467415112734	1	1
ABHD12B	1	1	1	1	0.541130886704973	1	1
ABHD13	1	1	1	1	0.528755550057539	1	1
ABHD14A	1	1	1	1	0.449475954314124	1	1
ABHD14B	1	1	1	1	0.448573117931223	1	1
ABHD15	1	1	1	1	0.585759664665713	1	1
ABHD16A	1	1	1	1	0.464172548539126	1	1
ABHD16B	1	1	1	1	0.465870324470204	1	1
ABHD17A	1	1	1	1	0.453461929240653	1	1
ABHD17AP4	1	1	1	1	0.452288446118698	1	1
ABHD17B	1	1	1	1	0.788354641394095	1	1
ABHD17C	1	1	1	1	0.599777910402062	1	1
ABHD2	1	1	1	1	0.526575957343922	1	1
ABHD3	1	1	1	1	0.727047992457369	1	1
ABHD4	1	1	1	1	0.533077169827975	1	1
ABHD5	1	1	1	1	0.893489480133266	1	1
ABHD6	1	1	1	1	0.785568630353032	1	1
ABHD8	1	1	1	1	0.46696287106984	1	1
ABI1	1	1	1	1	0.486354926983143	1	1
ABI2	1	1	1	1	0.448573117931223	1	1
ABI3	1	1	1	1	0.675703449916034	1	1
ABI3BP	1	1	1	1	0.705829674749895	1	1
ABL1	1	1	1	1	0.448573117931223	1	1
ABL2	1	1	1	1	0.448573117931223	1	1
ABLIM1	1	1	1	1	0.448573117931223	1	1
ABLIM2	1	1	1	1	0.536199538307714	1	1
ABLIM3	1	1	1	1	0.448573117931223	1	1
ABO	1	1	1	1	0.515012616932645	1	1
ABR	1	1	1	1	0.448573117931223	1	1
ABRA	1	1	1	1	0.448573117931223	1	1
ABRACL	1	1	1	1	0.833844840115378	1	1
ABT1	1	1	1	1	0.680427000214265	1	1
ABTB1	1	1	1	1	0.448573117931223	1	1
ABTB2	1	1	1	1	1	1	1
ACAA1	1	1	1	1	0.653207962997767	1	1
ACAA2	1	1	1	1	0.740355284944873	1	1
ACACA	1	1	1	1	0.578462666871279	1	1
ACACB	1	1	1	1	0.448573117931223	1	1
ACAD10	1	1	1	1	0.452641140645326	1	1
ACAD8	1	1	1	1	0.452291266108426	1	1
ACAD9	1	1	1	1	0.448573117931223	1	1
ACADL	1	1	1	1	0.448573117931223	1	1
ACADM	1	1	1	1	0.751278032559007	1	1
ACADS	1	1	1	1	0.448573117931223	1	1
ACADSB	1	1	1	1	0.93372655541946	1	1
ACADVL	1	1	1	1	0.449475954314124	1	1
ACAN	1	1	1	1	0.448573117931223	1	1
ACAP2	1	1	1	1	0.517146450579189	1	1
ACAP3	1	1	1	1	0.448573117931223	1	1
ACAT1	1	1	1	1	1	1	1
ACAT2	1	1	1	1	1	1	1
ACBD3	1	1	1	1	0.448573117931223	1	1
ACBD4	1	1	1	1	0.533111206357609	1	1
ACBD5	1	1	1	1	0.517576121553715	1	1
ACBD6	1	1	1	1	0.561763573320553	1	1
ACBD7	1	1	1	1	0.557475608132878	1	1
ACCS	1	1	1	1	0.462606263545717	1	1
ACCSL	1	1	1	1	0.507763106458146	1	1
ACD	1	1	1	1	0.448573117931223	1	1
ACE	1	1	1	1	0.487634161406656	1	1
ACE2	1	1	1	1	0.50872754871897	1	1
ACER1	1	1	1	1	0.472654318489358	1	1
ACER2	1	1	1	1	0.741781559777697	1	1
ACER3	1	1	1	1	0.566807653381494	1	1
ACHE	1	1	1	1	0.814213557584397	1	1
ACIN1	1	1	1	1	0.448573117931223	1	1
ACKR1	1	1	1	1	0.630092568657298	1	1
ACKR2	1	1	1	1	0.597798479619111	1	1
ACKR3	1	1	1	1	0.594328256886764	1	1
ACKR4	1	1	1	1	0.921232056301385	1	1
ACLY	1	1	1	1	0.520630137010303	1	1
ACMSD	1	1	1	1	0.448573117931223	1	1
ACN9	1	1	1	1	0.610344301064773	1	1
ACO1	1	1	1	1	0.487427556280108	1	1
ACO2	1	1	1	1	0.452291266108426	1	1
ACOT1	1	1	1	1	0.684901862771215	1	1
ACOT11	1	1	1	1	0.510007242177543	1	1
ACOT12	1	1	1	1	1	1	1
ACOT13	1	1	1	1	0.448573117931223	1	1
ACOT2	1	1	1	1	0.715950048309667	1	1
ACOT4	1	1	1	1	0.897630527261711	1	1
ACOT6	1	1	1	1	0.448573117931223	1	1
ACOT7	1	1	1	1	0.465441272024755	1	1
