"Mixture"	"B cells naive"	"B cells memory"	"Plasma cells"	"T cells CD8"	"T cells CD4 naive"	"T cells CD4 memory resting"	"T cells CD4 memory activated"	"T cells follicular helper"	"T cells regulatory (Tregs)"	"T cells gamma delta"	"NK cells resting"	"NK cells activated"	"Monocytes"	"Macrophages M0"	"Macrophages M1"	"Macrophages M2"	"Dendritic cells resting"	"Dendritic cells activated"	"Mast cells resting"	"Mast cells activated"	"Eosinophils"	"Neutrophils"
"GSM1426071"	"0.0672985345577015"	"0.0268269091233874"	"0.238383454489881"	"0.19012415286227"	"0"	"0.105239549226844"	"0.00428303213713041"	"0"	"0.0795981780760699"	"0.000968592726552943"	"0.0618830499592916"	"0"	"0.017393242478581"	"0.075895238742776"	"0.0112282217573719"	"0"	"0"	"0.0182336672236481"	"0.0895555462086045"	"0.0140572231564425"	"0"	"0"
"GSM1426072"	"0.0141120533440687"	"0.0370354146494884"	"0.113019405608963"	"0.101516008798484"	"0"	"0.159473768432031"	"0.0141032513327984"	"0"	"0"	"0.000706109077785223"	"0.0807244337945779"	"0"	"0.0472542147254521"	"0.125993411831296"	"0.162077634292686"	"0.0173515621653314"	"0"	"0.0218279209705088"	"0"	"0.0470711682258465"	"0"	"0.0584397518284681"
"GSM1426073"	"0"	"0.0501827140530705"	"0.153433900203415"	"0.261946207176762"	"0"	"0"	"0"	"0"	"0.119093529427897"	"0.00148902132366997"	"0.0926731021687576"	"0.0153282938032844"	"0.102366704543193"	"0.173801787303488"	"0"	"0"	"0"	"0.00993326790541171"	"0.0212404934147203"	"0"	"0"	"0"
"GSM1426074"	"0"	"0.0508859479528371"	"0.121501713546151"	"0.0266404960272869"	"0"	"0.224476170702479"	"0.0137021927091871"	"0.0140589069074562"	"0"	"0.00181509255136049"	"0.0707860804868083"	"0"	"0.0328439304960681"	"0.142511771497148"	"0.152963505508474"	"0.0588718368372624"	"0"	"0.000633115530323538"	"0"	"0.0474134130099493"	"0"	"0.0427109187885691"
"GSM1426075"	"0"	"0.11602736282369"	"0.131543742574573"	"0.190952281963075"	"0"	"0.0707017943172405"	"0"	"0"	"0.0305683033833623"	"0.000330409581768214"	"0.067613114314389"	"0"	"0.0741057156071138"	"0.143334236712875"	"0.103735593149608"	"0"	"0"	"0.0714178551540734"	"0"	"0"	"0"	"0"
"GSM1426076"	"0.0453929346044336"	"0.0475082478884694"	"0.105992018833884"	"0.0264166843734954"	"0"	"0.112877871546749"	"0.0300155282952968"	"0.0157960540746125"	"0"	"0.00114215571117096"	"0.112486329025045"	"0"	"0"	"0.111772570358147"	"0.028854324450099"	"0.0192649624714511"	"0"	"0.068610320659932"	"0"	"0.0625131239958054"	"0"	"0.21249902942258"
"GSM1426077"	"0.0785039245415739"	"0.147436114630763"	"0.107662757987258"	"0.140389120916269"	"0"	"0.0205956334308238"	"0.0112689403567911"	"0.0260643989208676"	"0.026318096928844"	"0.000157193420050424"	"0.085593848157384"	"0"	"0"	"0.152959828821565"	"0.0862684600158063"	"0.0274565542261204"	"0"	"0.0427232781802257"	"0"	"0.0346969714225456"	"0"	"0.0120620714631636"
"GSM1426078"	"0"	"0.0745230696499331"	"0.100743929096804"	"0.145241576162438"	"0"	"0.13215065107507"	"0"	"0.000571874406801992"	"0.0700577770435885"	"0.00206540724349232"	"0.047763277702403"	"0.00904391550877514"	"0.0656352548986805"	"0.186650916294777"	"0.105247784202723"	"0.0382684803987057"	"0"	"0"	"0.0241014935593011"	"0"	"0"	"0"
"GSM1426079"	"0.000932892615988882"	"0.0780824275979073"	"0.196876273119999"	"0.346342565874045"	"0"	"0"	"0"	"0.00345658421985077"	"0.107175827725936"	"0.0004405468764913"	"0"	"0.0909443337821573"	"0.0187611203854367"	"0.0687834908663702"	"0"	"0"	"0"	"0"	"0.0886444838123093"	"0"	"0"	"0"
"GSM1426080"	"0"	"0.158098009166875"	"0.120011074144182"	"0.256509410460059"	"0"	"0.00884833006484217"	"0"	"0"	"0.0437756957781353"	"3.95327959410511e-06"	"0.0416271876462717"	"0"	"0.0318051949796937"	"0.170157862958013"	"0.0130489564478049"	"0.0524118881838183"	"0"	"0"	"0.103706390170305"	"0"	"0"	"0"
