"ID"	"ENSEMBLE"	"SYMBOL"	"longname"	"location"	"ENTREZ"
7896736	""	""	""	""	""
7896738	"ENST00000328113 "	" OR4G2P "	" olfactory receptor, family 4, subfamily G, member 2 pseudogene "	" --- "	" --- "
7896740	"NM_001004195 "	" OR4F4 "	" olfactory receptor, family 4, subfamily F, member 4 "	" 15q26.3 "	" 26682 "
7896742	"NR_024437 "	" LOC728323 "	" uncharacterized LOC728323 "	" 2q37.3 "	" 728323 "
7896744	"NM_001005221 "	" OR4F29 "	" olfactory receptor, family 4, subfamily F, member 29 "	" 1p36.33 "	" 729759 "
7896746	"ENST00000387377 "	" MT-TM "	" mitochondrially encoded tRNA methionine "	" --- "	" ---"
7896748	"ENST00000387382 "	" MT-TW "	" mitochondrially encoded tRNA tryptophan "	" --- "	" ---"
7896750	"ENST00000387419 "	" MT-TD "	" mitochondrially encoded tRNA aspartic acid "	" --- "	" ---"
7896752	"ENST00000387421 "	" MT-TK "	" mitochondrially encoded tRNA lysine "	" --- "	" ---"
7896754	"ENST00000540997 "	" LOC100287497 "	" uncharacterized LOC100287497 "	" 1q42.11 "	" 100287497 "
7896756	"NR_103536 "	" FAM87B "	" family with sequence similarity 87, member B "	" 1p36.33 "	" 400728 "
7896759	"NR_015368 "	" LINC01128 "	" long intergenic non-protein coding RNA 1128 "	" 1p36.33 "	" 643837 "
7896761	"NM_152486 "	" SAMD11 "	" sterile alpha motif domain containing 11 "	" 1p36.33 "	" 148398 "
7896779	"NM_198317 "	" KLHL17 "	" kelch-like family member 17 "	" 1p36.33 "	" 339451 "
7896798	"NM_001160184 "	" PLEKHN1 "	" pleckstrin homology domain containing, family N member 1 "	" 1p36.33 "	" 84069 "
7896817	"NM_005101 "	" ISG15 "	" ISG15 ubiquitin-like modifier "	" 1p36.33 "	" 9636 "
7896822	"NM_198576 "	" AGRN "	" agrin "	" 1p36.33 "	" 375790 "
7896859	"NR_029639 "	" MIR200B "	" microRNA 200b "	" 1p36.33 "	" 406984 "
7896861	"NR_029834 "	" MIR200A "	" microRNA 200a "	" 1p36.33 "	" 406983 "
7896863	"NR_029957 "	" MIR429 "	" microRNA 429 "	" 1p36.33 "	" 554210 "
7896865	"NM_001130045 "	" TTLL10 "	" tubulin tyrosine ligase-like family, member 10 "	" 1p36.33 "	" 254173 "
7896878	"NM_080605 "	" B3GALT6 "	" UDP-Gal:betaGal beta 1,3-galactosyltransferase polypeptide 6 "	" 1p36.33 "	" 126792 "
7896882	"NM_001130413 "	" SCNN1D "	" sodium channel, non-voltage-gated 1, delta subunit "	" 1p36.3-p36.2 "	" 6339 "
7896908	"NM_153339 "	" PUSL1 "	" pseudouridylate synthase-like 1 "	" 1p36.33 "	" 126789 "
7896917	"NM_001029885 "	" CPTP "	" ceramide-1-phosphate transfer protein "	" 1p36.33 "	" 80772 "
7896921	"NM_152228 "	" TAS1R3 "	" taste receptor, type 1, member 3 "	" 1p36.33 "	" 83756 "
7896929	"NM_022834 "	" VWA1 "	" von Willebrand factor A domain containing 1 "	" 1p36.33 "	" 64856 "
7896937	"NM_001039211 "	" ATAD3C "	" ATPase family, AAA domain containing 3C "	" 1p36.33 "	" 219293 "
7896952	"NM_001170535 "	" ATAD3A "	" ATPase family, AAA domain containing 3A "	" 1p36.33 "	" 55210 "
7896961	"NM_031921 "	" ATAD3B "	" ATPase family, AAA domain containing 3B "	" 1p36.33 "	" 83858 "
7896983	"AB593172 "	" SSU72 "	" SSU72 RNA polymerase II CTD phosphatase homolog (S. cerevisiae) "	" 1p36.33 "	" 29101"
7896985	"NM_001170686 "	" MIB2 "	" mindbomb E3 ubiquitin protein ligase 2 "	" 1p36.33 "	" 142678 "
7897006	"NM_006983 "	" MMP23B "	" matrix metallopeptidase 23B "	" 1p36.3 "	" 8510 "
7897026	"NM_138705 "	" CALML6 "	" calmodulin-like 6 "	" 1p36.33 "	" 163688 "
7897034	"NM_000815 "	" GABRD "	" gamma-aminobutyric acid (GABA) A receptor, delta "	" 1p36.3 "	" 2563 "
7897044	"NM_001033581 "	" PRKCZ "	" protein kinase C, zeta "	" 1p36.33-p36.2 "	" 5590 "
7897066	"AK093927 "	" C1orf86 "	" chromosome 1 open reading frame 86 "	" 1p36.33 "	" 199990"
7897068	"NM_003036 "	" SKI "	" SKI proto-oncogene "	" 1p36.33 "	" 6497 "
7897076	"AK055432 "	" MORN1 "	" MORN repeat containing 1 "	" 1p36.33-p36.32 "	" 79906"
7897078	"NM_007033 "	" RER1 "	" retention in endoplasmic reticulum sorting receptor 1 "	" 1p36 "	" 11079 "
7897089	"ENST00000343889 "	" PLCH2 "	" phospholipase C, eta 2 "	" 1p36.32 "	" 9651 "
7897119	"NM_001195736 "	" FAM213B "	" family with sequence similarity 213, member B "	" 1p36.32 "	" 127281 "
7897128	"NM_080431 "	" ACTRT2 "	" actin-related protein T2 "	" 1p36.32 "	" 140625 "
7897132	"NM_022114 "	" PRDM16 "	" PR domain containing 16 "	" 1p36.23-p33 "	" 63976 "
7897154	"NM_014448 "	" ARHGEF16 "	" Rho guanine nucleotide exchange factor (GEF) 16 "	" 1p36.3 "	" 27237 "
7897172	"NM_182752 "	" TPRG1L "	" tumor protein p63 regulated 1-like "	" 1p36.32 "	" 127262 "
7897179	"NM_001126240 "	" TP73 "	" tumor protein p73 "	" 1p36.3 "	" 7161 "
7897196	"NM_152492 "	" CCDC27 "	" coiled-coil domain containing 27 "	" 1p36.32 "	" 148870 "
7897210	"NM_001282669 "	" DFFB "	" DNA fragmentation factor, 40kDa, beta polypeptide (caspase-activated DNase) "	" 1p36.3 "	" 1677 "
7897227	"NM_001042478 "	" AJAP1 "	" adherens junctions associated protein 1 "	" 1p36.32 "	" 55966 "
7897236	"NM_001199860 "	" KCNAB2 "	" potassium voltage-gated channel, shaker-related subfamily, beta member 2 "	" 1p36.3 "	" 8514 "
7897257	"ENST00000466994 "	" RNF207 "	" ring finger protein 207 "	" 1p36.31 "	" 388591 "
7897263	"ENST00000485539 "	" RNF207 "	" ring finger protein 207 "	" 1p36.31 "	" 388591 "
7897277	"NR_103534 "	" LINC00337 "	" long intergenic non-protein coding RNA 337 "	" 1p36.31 "	" 148645 "
7897280	"NM_001024598 "	" HES3 "	" hes family bHLH transcription factor 3 "	" 1p36.31 "	" 390992 "
7897286	"AY358179 "	" LOC100130071 "	" GSQS6193 "	" 1p36.31 "	" 100130071"
7897288	"NM_031475 "	" ESPN "	" espin "	" 1p36.31 "	" 83715 "
7897293	"ENST00000517213 "	" RNU6-731P "	" RNA, U6 small nuclear 731, pseudogene "	" --- "	" ---"
